"Gene.ID","DTL24h_WT_1","DTL24h_WT_2","DTL24h_WT_3","DTL24h_u5_1","DTL24h_u5_2","DTL24h_u5_3"
"AT1G54115",8.94435648073455,9.00483258956493,8.75771965838054,8.94025919227635,9.26122861646041,8.98936296428782
"AT1G54120",5.89908383602122,6.11321853544414,5.78484152204178,6.25609716842736,5.70536028799676,6.14387691057061
"AT1G54130",10.1132986124154,10.0838638629579,9.95074480323782,10.3055105446898,10.2740142872865,10.2618099496957
"AT1G54140",7.73580846369748,7.59409412085737,7.68644866540963,7.64382880061425,7.58038670274613,7.65331297725949
"AT1G54150",7.82223286548731,7.74786541903082,7.71554432188754,7.57057526087572,7.81116239677387,7.75970064934765
"AT1G54160",6.53348642472921,6.20142292199535,6.25609291463889,6.41919461693193,6.65324942887409,6.19043860327591
"AT1G07943",5.95103747111151,5.54196985758207,5.84379660711049,5.78915416614871,5.88844284575295,5.72526915958565
"AT1G54170",9.63421662243999,9.55313700253522,9.5978799348541,9.48658311645122,9.55659793427337,9.59828612459516
"AT1G54180",6.65746210558514,6.93620887656291,6.76615948203859,6.98983570276075,7.05834636230345,6.84492181231325
"AT1G54200",7.68700465671102,7.41285967443602,7.30993396108789,7.38331946129794,7.40875098359398,7.54684523208875
"AT1G54210",7.39683581987672,7.57070291081324,7.54760420679165,7.50212683656356,7.53104299621285,7.55532461441757
"AT1G54215",4.59795673335094,4.88555778877461,4.60654484332086,4.46951064907295,4.81697122754392,4.82651888721967
"AT1G54217",5.87225513609898,5.77429650353826,5.87222336640568,5.69050183108542,6.09632982140575,5.91015788769337
"AT1G54220",9.23938741969934,9.35900385603467,9.27753211767273,9.24827034962437,9.19464833083233,9.23440038550087
"AT1G54250",7.3793207877943,7.60180632683166,7.70832598654756,7.43939584563318,7.84511702349107,7.66118162703312
"AT1G54260",7.98656239475215,7.9239298323569,7.73698228146236,8.03655307554638,8.1355925252732,7.75235964186934
"AT1G54270",11.3635857754396,11.3680028135275,11.5435829545657,11.2365261023753,11.1989293782987,11.1158187066219
"AT1G07957",4.45510948178298,4.60309856812962,4.71722685195714,4.61817221304275,4.10740755499919,4.90938172491352
"AT1G54280",4.94917154456883,5.08487002843189,4.80986062512833,5.05104751648622,4.46486108417465,5.05163772225451
"AT1G54290",8.39408068060895,8.18147261233311,8.40464864114047,8.37318148309478,8.18405317297315,8.24535546811899
"AT1G54300",4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G54310",8.12352105307748,8.18658740604871,8.22987449877624,8.15222094414007,8.3106542747138,8.32149264973655
"AT1G54320",10.6299097081922,10.6696875972369,10.6366091368657,10.5676761180978,10.6205177698085,10.446061159568
"AT1G07963",8.1182871467974,8.30416578042434,8.49512828322535,8.21206821128137,8.2960393720774,8.18683369305153
"AT1G54330",5.59883866833216,5.50447149730853,5.43395176860477,5.69050183108542,5.48763875020598,5.27977725877353
"AT1G54340",9.92452346535312,9.63188713462228,9.82872979953166,9.73050023479029,9.76854994601064,9.62050222833748
"AT1G54350",10.0626127742546,10.1610009122703,10.1831835671417,10.5933891405264,10.4760806033105,10.5870373407697
"AT1G54355",8.32768097400622,8.60821765766943,8.68275446835095,9.05140588541749,8.83979228372316,8.8423264482529
"AT1G54360",9.4575313700992,9.45300251742278,9.49325048656443,9.63663884679157,9.37891040542181,9.46399600786972
"AT1G54370",9.81273104070404,9.87551537671254,9.69542512186538,9.95024474451215,9.798161559419,9.93281236341719
"AT1G07967",7.46480307930888,7.71273227266753,7.28087668299416,7.45760444264498,7.53938706961084,7.50367064196566
"AT1G54380",8.51434704393124,8.59291292799888,8.59978709639377,8.38739776936139,8.42250410972675,8.46709497353114
"AT1G54385",7.13975378350079,7.20491185289762,7.01202811294455,7.17844333526291,7.23415179750386,7.34616892011953
"AT1G54390",8.67596827513319,8.57744343428649,8.4867526870108,8.61779704597862,8.68783612171998,8.54954541622613
"AT1G54400",4.94917154456883,5.08487002843189,5.2025999588213,4.82606287230234,4.89878481432582,4.61849957829108
"AT1G54410",13.3503914740962,13.4052003689592,13.3061660071945,13.2297678966378,13.4200178348344,13.2930879394327
"AT1G54440",8.64361188510987,8.63087341541764,8.46132873848562,8.54784179104926,8.65389252482889,8.71281786733633
"AT1G54450",6.81136690111623,6.61814520974858,6.33645705187924,6.87131632830176,6.8839437064853,6.75804269508621
"AT1G54460",9.26322246698561,9.28007819654596,9.28719570178314,9.38182811292351,9.2662249323518,9.38596242436485
"AT1G54470",4.59795673335094,4.10740755499919,4.46122646472449,4.61817221304275,4.46486108417465,4.61849957829108
"AT1G54475",4.10740755499919,4.10740755499919,4.10740755499919,4.90887564065103,4.10740755499919,4.46974392927483
"AT1G54490",10.4496267280289,10.5432612763915,10.2734119319116,10.5180584126671,10.5268914032024,10.5069359648838
"AT1G54500",10.7264556296107,10.8059319110634,11.0192329905428,11.0169959446848,10.8843499743269,11.1250268419094
"AT1G54510",8.43249411035704,8.43875781998905,8.20963808416869,8.07224546293418,8.30579917018322,8.21905054001674
"AT1G54520",10.4620295672056,10.6083341113222,10.728080458468,10.8741096628435,10.7843565245198,10.8590624892753
"AT1G54530",5.2820813376371,5.46562272670195,5.09147972539026,5.61972538633927,5.26470179896551,5.22785753877722
"AT1G54540",7.59923576346399,7.82223746087042,7.8129379958542,7.28460529237245,7.0347312227484,7.0769457442317
"AT1G54560",4.59795673335094,4.95783278903536,4.10740755499919,4.73136175253884,4.10740755499919,4.46974392927483
"AT1G54570",9.82878589470979,9.78597091796065,9.78508214707807,9.75075679138724,9.86552652243455,9.59828612459516
"AT1G54575",7.67274765011363,7.15303327810436,7.58755307656708,7.38331946129794,7.28486107914525,7.25507906592712
"AT1G54580",10.1250466366473,10.0210374687765,10.3445162835813,10.0472252503558,10.1225532770019,10.0901288083085
"AT1G54590",4.10740755499919,4.10740755499919,4.46122646472449,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G54600",4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G54610",10.5719655748398,10.5698388284432,10.3878008265292,10.5083592907173,10.4964077679324,10.5155802641165
"AT1G54620",4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G54630",10.3772550954477,10.216884153405,10.3548859073912,10.1352937452983,10.3155522561231,10.3234188284789
"AT1G54650",7.19104557025741,7.3591197631093,7.15824278834709,7.08732028657543,6.7295959533984,7.02862816743191
"AT1G54660",7.13975378350079,6.6938427446844,6.79420194204359,6.64787166494802,6.91024091860654,6.85888335494981
"AT1G54670",4.10740755499919,4.4587716313319,4.10740755499919,4.10740755499919,4.46486108417465,4.61849957829108
"AT1G54680",6.91337863061236,7.29372165488952,7.13671978430821,6.63159237277659,7.13798940975448,7.16884014316056
"AT1G54690",8.65808249254661,8.81026492667718,8.90943267406852,8.75557101633418,8.87294333274904,8.58700839022198
"AT1G07983",8.35461071668145,8.50977393462375,8.67908531852889,8.5604369331437,8.56332062231457,8.2813897896187
"AT1G54710",9.8973774773328,9.9175184167979,9.57044931429365,9.94226106486488,9.85562026820025,9.7470549626088
"AT1G07987",7.08651137264992,7.0881311163013,6.29689101043817,7.08732028657543,7.22378672734066,6.85888335494981
"AT1G54730",8.91755951039304,8.76661924769755,8.87458214566555,8.98139242174985,9.02223073331404,9.04421433862024
"AT1G54740",10.433971667484,10.478234515895,10.4210782430831,10.4385753064241,10.493217200657,10.51450255578
"AT1G54750",4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G54760",4.10740755499919,4.4587716313319,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G54770",7.87292534561914,7.74786541903082,7.90410207339463,7.72851946614198,7.91708929045475,7.96400593712331
"AT1G54773",5.32742212268146,5.50447149730853,5.58773612865026,5.72431949046118,5.44674598498862,5.27977725877353
"AT1G54780",11.3486356675592,11.4681986215844,11.6461067288311,11.9903877442825,11.7324612029282,11.9502195386616
"AT1G07993",9.82078081688083,9.88808879717546,10.1986191399854,10.3688202491634,10.1726133405066,10.3954409080805
"AT1G54790",8.20968993566473,8.08613782306102,8.60366408345007,8.45193974863836,8.77461967373219,8.65128914163146
"AT1G07997",4.45510948178298,4.4587716313319,4.10740755499919,4.46951064907295,4.61164675042184,4.46974392927483
"AT1G54820",8.00370685226824,8.45154802934585,8.52406409508097,8.88796451530649,8.66529634397162,9.15357293789928
"AT1G54830",8.99079735890293,8.85903286546176,9.12421269707959,8.91761374447376,8.8058592562053,9.03521635842524
"AT1G08003",8.04844518018484,8.1024743483767,8.35947266797469,8.11849130190593,8.06256457819661,8.10871749510293
"AT1G54840",5.56401459647625,5.50447149730853,6.00521494273918,5.75718337103037,5.83048191575791,5.69143516430346
"AT1G54850",7.0756151460027,7.14242311779434,7.1688815600171,7.43939584563318,7.22378672734066,7.49487562515929
"AT1G54860",4.79788667287541,4.60309856812962,4.71722685195714,4.73136175253884,4.61164675042184,4.61849957829108
"AT1G54870",5.56401459647625,5.24586334117742,6.64786690845125,5.17223529640172,6.77343814309333,5.79013461202353
"AT1G54890",6.39691688944497,5.54196985758207,6.4304754599108,5.88022788251566,6.31592820835416,6.51307817450618
"AT1G54920",10.4733058938786,10.3970027869823,10.2340056688112,10.4655593122644,10.5516409390816,10.3586787930995
"AT1G54930",4.70678364854002,4.71303646027931,4.89089150819196,5.11375335223669,4.89878481432582,4.73175964811187
"AT1G54940",5.6972850861207,5.61333661151025,5.09147972539026,5.46308000023337,5.40420012177932,5.05163772225451
"AT1G08007",4.45510948178298,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G54950",4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G08027",4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G54960",6.86331465000627,6.88591193318787,6.48385281001743,6.58154864299147,6.89715478903775,7.10049149265047
"AT1G54970",9.24657943862724,9.03343361212535,8.94651287165996,8.63774031349661,8.67284893822554,8.45363260305351
"AT1G54980",4.10740755499919,4.4587716313319,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G54990",9.27499370120511,9.21416796585335,9.24814618595108,9.11533236978948,9.11932753176673,9.1999306465078
"AT1G55000",9.2513542445298,9.18387764697227,9.38268041336548,9.5489132765459,9.43099983780711,9.47955021867411
"AT1G55010",4.10740755499919,4.10740755499919,4.46122646472449,4.10740755499919,4.46486108417465,4.90938172491352
"AT1G55020",11.1936626928029,11.1020839705836,10.8609222035539,10.870749264639,10.8289061693638,10.6234814053947
"AT1G55030",4.10740755499919,4.10740755499919,4.71722685195714,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G55035",4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.46486108417465,4.10740755499919
"AT1G55040",7.37048113110723,7.42162090660382,7.31948804131566,7.31495197262215,7.17078159767742,7.24458431476877
"AT1G55050",5.66540503649067,5.99359619961232,5.84379660711049,5.37522735238373,5.70536028799676,5.58348407635609
"AT1G55070",4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G55080",8.262805947844,7.93614678176522,8.1471552238393,7.95602083301246,7.95486964334893,7.87228892201769
"AT1G55090",9.90193745126449,9.93125183394176,9.74708842384155,9.94545984358773,9.88675937837105,9.85659913095934
"AT1G55100",6.71544998533306,7.11010145032766,7.30031465646997,7.17844333526291,6.99854069562352,6.9785745257306
"AT1G55110",8.30944277530527,8.54201580892235,8.34099635359143,8.21206821128137,8.59547541280183,8.17593172160605
"AT1G55120",6.00089283915203,6.09018302420938,5.62303671292291,5.78915416614871,6.02237038268114,5.96600533883778
"AT1G55130",8.33220451789209,8.39968888141842,8.33633985360954,8.62180790013651,8.33944475950422,8.19225372480496
"AT1G55140",8.62899411056844,8.47679162236908,8.69006479360221,8.78804632064576,8.72463449597051,8.76094098442574
"AT1G55150",9.10073924943333,9.09442453286915,9.16147467113817,8.89128920461641,9.00738295681569,9.05315642846252
"AT1G55160",10.1405632517187,10.039470205651,10.0233374672097,10.0664502168972,10.1307901068434,10.0250135610637
"AT1G55152",9.35702088206859,9.29432418892284,9.2407050648785,9.2560241668819,9.36733304106555,9.28587055627277
"AT1G55170",8.06486775617904,7.88032816016542,7.72272623679719,7.98128664929995,7.99167670773153,7.93192177685441
"AT1G08033",4.10740755499919,4.4587716313319,4.46122646472449,4.46951064907295,4.97222122507448,4.10740755499919
"AT1G55175",5.95103747111151,5.86124187825779,5.55128027589143,6.0442341716918,6.1662185196194,6.07069289211218
"AT1G55180",7.5916709662035,7.89292224473789,7.87864401108061,8.09555515443586,8.17874891626181,7.67678949499165
"AT1G08037",8.61793237861672,8.27566286828573,8.31282787844925,8.43835153008901,8.39991012431263,8.05615125102008
"AT1G55190",8.61793237861672,8.27566286828573,8.31282787844925,8.45644072503173,8.39991012431263,8.05615125102008
"AT1G55200",6.92561666554382,7.21506129467318,6.96376981383506,6.98983570276075,7.12688581052456,7.02862816743191
"AT1G55205",6.30383575330737,6.28398920320389,6.48385281001743,6.47552579314378,6.43191458088272,6.38149862860955
"AT1G55207",5.18441673279433,5.0238428891571,4.71722685195714,4.90887564065103,4.97222122507448,4.82651888721967
"AT1G55210",10.0935033427866,9.95833235081013,10.1701931671208,9.90166576635424,9.84731274005253,9.83776138452768
"AT1G55220",4.10740755499919,4.10740755499919,4.10740755499919,4.46951064907295,4.10740755499919,4.10740755499919
"AT1G55221",4.10740755499919,4.10740755499919,4.10740755499919,4.46951064907295,4.10740755499919,4.10740755499919
"AT1G55230",4.10740755499919,4.10740755499919,4.96363522637781,4.10740755499919,4.10740755499919,4.46974392927483
"AT1G55240",8.32768097400622,8.35952657240772,8.08182125477415,7.96237928854608,8.56737954491096,8.70526925020422
"AT1G55250",9.14760039194269,8.98153543012466,9.05800213962212,9.34837315825517,9.11656325731767,9.28080551628669
"AT1G55260",9.90193745126449,9.99366622667686,9.95074480323782,10.1862044311678,9.8753651732399,10.1468764062498
"AT1G55265",8.22923336047582,8.25146981676532,8.24982915681741,8.30989591244587,8.18933786283296,8.255743741236
"AT1G08043",8.38540292117579,8.37751540051191,8.41351565846029,8.48315425014345,8.37231927984183,8.41247106573042
"AT1G55270",8.53410154442615,8.58906113986091,8.51996592753612,8.66520401589398,8.56332062231457,8.83888206826494
"AT1G08047",6.4323909180066,6.53797180951478,5.55128027589143,6.47552579314378,6.53860221954718,6.5828470515858
"AT1G55280",6.82453855231242,6.88591193318787,6.93899713086345,7.22187531712156,6.98626499247739,6.85888335494981
"AT1G55290",5.84481944331967,5.46562272670195,5.62303671292291,5.37522735238373,4.61164675042184,5.22785753877722
"AT1G55300",7.76296318797918,7.70560038502266,7.6032230425265,7.81550310743111,7.7334870122234,7.65331297725949
"AT1G55310",10.2566573655472,10.2305230284778,10.3640411715098,10.212993240467,10.447791918928,10.3502463630818
"AT1G55320",9.18302204287002,9.16073435710851,9.18751216212525,8.97826972798352,8.97111067396135,9.12558991024265
"AT1G55325",10.3739770399512,10.4488366470382,9.97036306853747,10.4122330977728,10.3814625360194,10.4573221311179
"AT1G55330",10.174876961519,10.535291464621,10.970618238332,10.5266254367576,10.5341539924564,11.0761974200211
"AT1G55335",10.174876961519,10.535291464621,10.970618238332,10.5266254367576,10.5341539924564,11.0761974200211
"AT1G55340",9.05230151735804,9.13193350670744,9.04096255387483,9.12665647500767,9.06013317304975,9.12558991024265
"AT1G55350",11.2697062366391,11.2591157129659,10.700339706673,11.4045375483003,11.4155107477636,11.273827278796
"AT1G55360",10.1354095760565,10.2921250824246,10.0979482269428,10.4755495611707,10.3323143650072,10.3658675548477
"AT1G55365",5.37078325049949,5.14180735898515,4.96363522637781,5.32830548370172,5.10125815217817,5.54506118197417
"AT1G55370",8.45339893314051,8.70746934136856,8.74022206003611,9.02441338809806,8.63468277329061,9.041221256449
"AT1G55380",5.2820813376371,5.50447149730853,5.3477634070534,5.61972538633927,5.40420012177932,5.50524269070364
"AT1G55390",5.59883866833216,5.74384123568057,5.62303671292291,5.27905763674374,5.67186987218025,5.54506118197417
"AT1G55410",4.10740755499919,4.95783278903536,4.60654484332086,4.10740755499919,4.10740755499919,4.46974392927483
"AT1G55420",6.02509165136921,5.71257343848998,5.89999899839049,5.99193854628176,5.52702789030957,5.65657884909062
"AT1G55430",5.97621541216713,5.5782265975503,5.81468253269262,5.42008112949971,5.31341029032268,5.79013461202353
"AT1G55440",4.45510948178298,4.71303646027931,4.71722685195714,4.90887564065103,4.10740755499919,5.05163772225451
"AT1G55450",8.44089260321189,8.73560789425995,8.71177535612907,8.69976062375704,8.71734977890576,8.88302835897725
"AT1G55460",9.07672407254478,9.05869752222232,8.93425865768183,8.98139242174985,8.97416852214919,9.06499346766622
"AT1G55470",4.10740755499919,4.10740755499919,4.10740755499919,4.61817221304275,4.10740755499919,4.10740755499919
"AT1G55475",6.36046826160316,6.60248616853443,6.78025228125258,6.77155013776678,6.71466434430275,6.84492181231325
"AT1G55480",10.9882120293646,11.2597204096372,11.4933685216813,11.7582499276525,11.5723805389015,11.8158366768865
"AT1G55490",13.2441518068997,13.4616078348197,13.5067470704386,13.7594483953745,13.5165324032541,13.6189226904516
"AT1G55500",9.14760039194269,9.00771839970515,9.17715358766298,9.07498158947226,9.07159751300684,8.9029555291337
"AT1G55510",8.31402411293974,8.63087341541764,8.61138681905824,8.55205245290396,8.5875039230504,8.61145183802139
"AT1G55520",8.78545195244971,8.92158729615391,8.83227636979797,8.99072005932694,9.0310664408108,8.84576260137977
"AT1G55525",4.10740755499919,4.10740755499919,4.46122646472449,4.10740755499919,4.61164675042184,4.46974392927483
"AT1G55530",9.96721129671057,9.77585728319253,10.0800016604499,9.85139270791197,9.84063207731927,9.95364034596357
"AT1G55535",7.84780425125044,7.88663909158531,7.92911416042063,7.85023605544425,7.68926232409778,7.81005524958355
"AT1G55540",9.48616393896525,9.33852894368442,9.01501893869538,9.34352982461693,9.36034170201344,9.37886981947091
"AT1G55546",4.10740755499919,4.10740755499919,4.46122646472449,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G08057",4.10740755499919,4.10740755499919,4.46122646472449,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G55550",6.58131807377205,6.58664400078882,5.89999899839049,6.74166322809368,6.43191458088272,6.64919191809785
"AT1G55560",4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G55570",4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G55580",6.24464677265028,6.17993281785296,6.60071800439606,6.14274132932919,6.35573159270531,6.32085531469307
"AT1G55590",8.90548767508797,8.90000122162433,8.79548103751118,9.08372389062848,8.98026479791019,8.96429714828847
"AT1G55600",4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.61849957829108
"AT1G55610",8.05394034526917,7.94221629566416,7.50649749375899,7.87742613495416,8.09673333190053,7.49487562515929
"AT1G55620",9.08744696639697,8.94586701224373,8.91879267969996,9.05140588541749,8.93390059212803,8.87968016722234
"AT1G55630",6.99686090806116,7.17401556885798,7.04715455603582,7.07550087685724,7.47121708547524,7.04086540425911
"AT1G55640",4.79788667287541,4.88555778877461,4.10740755499919,4.10740755499919,4.72342960448955,4.90938172491352
"AT1G55650",4.10740755499919,4.10740755499919,4.10740755499919,4.46951064907295,4.10740755499919,4.46974392927483
"AT1G08063",4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G55670",13.2374044170013,13.4223148747767,13.7101030478247,14.0359604999791,13.8199492247534,14.1321727939349
"AT1G55673",13.2036474587154,13.3939522958041,13.6701852956031,13.999599397692,13.7828719911739,14.0958011745089
"AT1G55675",7.97501744445112,7.90540619691368,7.8129379958542,7.82949794832101,7.89133547366144,8.26605727649118
"AT1G55680",11.322802745633,11.3043651330419,11.2625979118394,11.3090782225018,11.3257007464341,11.3127819377884
"AT1G55690",9.21515130147981,9.14247331102948,8.82565593597686,9.07498158947226,9.04567316444638,9.00173405900947
"AT1G55700",5.0145504109745,4.10740755499919,4.10740755499919,4.61817221304275,4.10740755499919,4.983746277718
"AT1G55720",4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G55730",8.51831973867504,8.53000975522254,8.61138681905824,8.57292261552796,8.47963647872984,8.2965600832901
"AT1G55740",9.01346771405085,8.8069541862515,8.62670889409419,8.72979548370801,8.74268644675508,8.54954541622613
"AT1G55750",8.52623231585927,8.55392235153595,8.4354464792373,8.52660133877856,8.32031545442099,8.35568581393738
"AT1G55755",7.70112020364622,7.74786541903082,7.77891370879652,7.82949794832101,7.53104299621285,7.69988480847718
"AT1G55760",8.59555015947577,8.55392235153595,8.34563778777877,8.53513524477683,8.39534833042117,8.36050469686255
"AT1G55770",4.10740755499919,4.10740755499919,4.46122646472449,4.61817221304275,4.72342960448955,4.46974392927483
"AT1G55775",4.10740755499919,4.80505635067647,4.10740755499919,4.73136175253884,4.10740755499919,4.73175964811187
"AT1G55790",4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919,4.10740755499919
"AT1G55800",4.94917154456883,5.50447149730853,4.96363522637781,5.50440266390655,5.26470179896551,5.11437985734258
"AT1G55803",5.45234954158215,5.38335002279289,5.03006753559268,5.37522735238373,4.89878481432582,5.17289518253104
"AT1G55805",8.35905026793145,8.46001196891579,8.52406409508097,8.60974159948356,8.55925020020743,8.58289374999966
"AT1G55810",9.98451208888831,10.0701370966777,9.96134164224315,9.90823831608447,10.1170358019415,9.97886851590011
"AT1G55820",8.58422694664742,8.54201580892235,8.4354464792373,8.35882294002336,8.42698054027906,8.24013296264122
