Gene.ID,FPKM.WT_D,FPKM.WT_DTL6h,FPKM.WT_WL
AT1G56230,4.919951891,4.44682808,2.126067173
AT1G56233,0,0,0
AT1G56240,0.022085335,0.017218265,0.268441379
AT1G56242,0,0,0.010934912
AT1G56250,0.044136054,0.060216699,0.139480121
AT1G56260,0.373413898,0.426759217,1.572056794
AT1G56270,0,0.017313319,0
AT1G56280,94.79213843,49.97664505,12.98402655
AT1G56290,1.515391709,1.477539317,1.130204799
AT1G56300,1.726267971,4.29060242,2.238930647
AT1G56310,1.556516728,2.19532881,2.187729795
AT1G56320,1.050304725,1.352645938,0.775666309
AT1G56330,28.84263249,38.99885511,107.1740152
AT1G56340,10.56272031,14.36274008,31.36761448
AT1G56345,0.667208804,0.515122012,0.746411537
AT1G56350,0.525885957,0.496961813,1.022720637
AT1G56360,0,0,0
AT1G56380,0,0,0
AT1G56385,0,0,0
AT1G56390,0,0,0
AT1G56400,0.012366624,0,0
AT1G56410,0.005062712,0,0
AT1G56415,0,0,0
AT1G56418,0,0,0
AT1G56420,0.528547104,0.628759222,0.664587881
AT1G56423,4.295410569,2.006048434,2.61300087
AT1G56430,1.782285035,2.24401247,16.7075459
AT1G56440,0.88107666,1.590213761,2.770786957
AT1G56450,18.36927321,17.8228176,14.76546894
AT1G56460,1.389332993,1.000953885,1.598231385
AT1G56470,0.165640015,0.086091326,0.268441379
AT1G56480,0,0,0.010285883
AT1G56490,0,0,0
AT1G56500,2.263410583,6.947012264,22.87437153
AT1G56510,0.12494624,1.920390863,9.208830109
AT1G56520,0.189813297,0.713093408,2.858534265
AT1G56530,0,0,0
AT1G56540,0.858624365,0.837252166,0.720944356
AT1G56550,11.08333823,10.67037608,1.665475032
AT1G56553,0,0,0
AT1G56555,0,0,0
AT1G56560,12.67239051,13.17632005,5.671395575
AT1G56570,0.410735349,0.854276262,0.735789543
AT1G56580,4.045372653,3.196226718,15.45820759
AT1G56590,5.030907587,6.371463369,8.491480967
AT1G56600,0.745668641,1.98115039,0.181268081
AT1G56610,1.677620206,1.826710167,1.200473855
AT1G56612,3.716603972,2.567168014,2.188331716
AT1G56620,0.03087588,0,0
AT1G56630,0.28041538,0.155020503,0.319767488
AT1G56640,0,0,0
AT1G56650,0.220056768,0.148466782,0.049379659
AT1G56660,0.330900231,0.179326085,0.0882879
AT1G56670,0.416764775,0.296666055,1.180520198
AT1G56680,0.428988462,0.20066991,0.563137994
AT1G56690,0.270108418,0.38555288,0.208573158
