"Gene.ID","Col.D.N","Col.DL.N","Col.WL.N","Col.D.F","Col.DL.F","Col.WL.F","Col.D.P","Col.DL.P","Col.WL.P","Col.D.SM","Col.DL.SM","Col.WL.SM"
"AT3G04445",78,229,138,26,30,14,45,45,46,3,13,9
"AT3G04450",118,292,213,93,78,37,100,68,76,10,23,18
"AT3G04460",137,353,295,155,187,79,391,229,222,13,45,36
"AT3G04470",540,937,723,437,494,169,3537,1268,1425,82,162,141
"AT3G04480",86,203,387,123,238,122,767,426,712,9,48,61
"AT3G04485",18,51,25,20,43,20,38,18,24,0,7,10
"AT3G04490",497,993,1127,213,279,89,1211,402,562,50,57,64
"AT3G04500",238,307,189,204,243,115,764,349,493,17,53,45
"AT3G04510",0,0,0,3,4,0,0,0,1,0,0,0
"AT3G04520",30,47,86,96,87,38,393,240,382,7,25,33
"AT3G04525",0,1,1,2,0,1,0,0,0,0,0,0
"AT3G04530",12,14,33,90,46,7,257,80,38,6,14,2
"AT3G04540",3,2,0,0,0,0,0,0,0,0,0,0
"AT3G04545",2,0,0,0,1,0,0,0,0,0,0,0
"AT3G04550",73,231,388,144,315,168,978,1287,3206,17,50,109
"AT3G01485",1,1,0,0,0,0,2,1,1,0,0,0
"AT3G04560",58,73,78,176,140,37,511,136,204,21,26,28
"AT3G01495",1,1,0,2,0,0,0,0,0,0,1,0
"AT3G04570",104,131,106,232,165,42,692,232,230,19,33,18
"AT3G04580",147,270,503,140,168,71,1243,369,271,19,57,39
"AT3G04590",112,292,301,140,190,89,918,390,567,16,40,58
"AT3G04600",163,407,488,273,227,153,1188,666,893,21,59,96
"AT3G04605",113,279,275,194,304,100,1388,633,763,23,97,54
"AT3G04610",233,431,378,243,302,122,1791,851,1091,42,92,144
"AT3G04620",3,7,7,11,12,5,59,26,52,0,1,3
"AT3G04630",74,165,188,461,260,121,715,512,613,16,41,85
"AT3G04640",21,40,110,51,73,60,91,51,32,1,4,11
"AT3G04650",37,283,266,55,207,97,420,603,946,5,55,62
"AT3G04660",4,1,0,2,4,3,2,0,0,0,0,0
"AT3G04670",455,614,417,472,490,103,2255,750,723,66,133,134
"AT3G04680",63,142,184,53,111,39,563,238,362,3,30,25
"AT3G04690",8,2,0,6,7,5,1,0,0,0,0,0
"AT3G04700",12,16,4,3,8,8,24,6,14,0,0,4
"AT3G04710",52,112,99,56,100,32,465,275,453,5,16,33
"AT3G04715",1,0,0,1,0,0,0,0,0,0,0,0
"AT3G04717",2,1,0,2,3,0,0,0,0,0,0,0
"AT3G04720",280,423,523,428,416,220,2442,1005,708,25,76,59
"AT3G04730",403,497,623,2562,1897,892,8109,2337,2917,110,230,307
"AT3G04735",4,0,2,1,1,0,0,0,1,0,0,0
"AT3G04740",580,965,1237,451,422,158,4805,1357,1478,87,130,93
"AT3G04750",50,85,91,56,56,20,253,115,139,7,20,20
"AT3G04760",88,286,350,138,503,219,1165,1282,1897,8,108,172
"AT3G04770",14,113,123,32,74,43,154,127,291,0,9,17
"AT3G04780",86,113,139,222,245,134,1045,402,567,11,36,41
"AT3G04790",220,1334,1741,230,641,756,1505,2467,7940,15,103,315
"AT3G01505",2,1,0,0,0,0,9,0,3,0,0,0
"AT3G04800",6,3,5,3,8,3,7,7,7,0,0,0
"AT3G04810",249,649,652,182,315,137,994,580,688,21,89,98
"AT3G01515",0,1,1,1,0,0,4,0,1,0,0,0
"AT3G04820",51,93,148,55,77,50,395,153,387,5,26,30
"AT3G04830",110,192,256,301,215,113,1796,667,1105,20,41,61
"AT3G04840",601,1953,3061,1343,1487,1608,8979,5609,12777,75,369,865
"AT3G04850",34,55,53,39,47,17,170,61,86,4,3,15
"AT3G04854",3,1,0,12,2,3,0,1,0,1,0,0
"AT3G04855",3,3,4,1,1,0,0,1,0,0,0,0
"AT3G04860",88,91,88,200,59,24,242,54,66,10,9,16
"AT3G04870",283,779,787,352,619,329,2390,2120,2649,45,131,200
"AT3G04880",356,329,215,481,263,116,1531,382,427,31,30,49
"AT3G01525",3,3,2,4,9,0,0,0,1,0,1,0
"AT3G04890",72,91,113,159,92,120,135,49,105,5,9,22
"AT3G04900",2,0,1,9,3,1,1,0,1,1,0,0
"AT3G04903",1,0,0,0,0,1,0,0,0,0,0,0
"AT3G04910",656,1017,910,1021,1072,274,6812,2173,2138,153,320,269
"AT3G04920",234,509,575,1938,1739,1583,3185,1374,3108,34,86,277
"AT3G04930",329,404,305,638,354,112,1523,597,590,49,94,88
"AT3G04940",199,619,480,277,402,160,1401,907,900,28,75,87
"AT3G04943",1,0,0,2,0,0,0,0,0,0,0,0
"AT3G04945",0,0,0,0,0,1,0,0,0,0,0,0
"AT3G04950",18,23,30,40,42,40,66,20,62,1,5,9
"AT3G04960",9,5,3,1,6,1,19,10,13,2,2,3
"AT3G04970",115,191,171,70,78,24,207,73,56,3,12,6
"AT3G04980",34,30,42,31,53,17,221,96,170,2,12,10
"AT3G01535",2,1,0,0,1,0,0,0,1,0,0,0
"AT3G04990",7,0,0,3,3,1,0,0,2,0,0,0
"AT3G05000",136,161,173,390,245,194,787,285,410,7,21,42
"AT3G05010",170,252,301,123,173,75,575,181,148,3,15,19
"AT3G01545",0,1,1,2,1,0,4,1,1,0,0,0
"AT3G05020",43,75,123,340,248,184,2225,466,940,17,41,80
"AT3G05030",145,341,278,54,180,36,387,273,101,4,40,16
"AT3G01555",0,0,0,3,1,0,0,0,0,0,0,0
"AT3G05035",4,0,6,3,5,4,0,1,2,0,0,0
"AT3G01565",0,0,0,0,0,0,0,0,0,0,0,0
