Gene.ID,WTD_N_F.FC,WTD_N_F.p,WTD_N_F.q,WTDL_N_F.FC,WTDL_N_F.p,WTDL_N_F.q,WTWL_N_F.FC,WTWL_N_F.p,WTWL_N_F.q
AT1G01130,2.219433032,0.014943956,0.032433291,1.715110687,0.001517339,0.003988681,1.764664904,0.032761281,0.064481851
AT1G01140,-0.051625956,0.702911182,0.790994788,-0.02476621,0.843316172,0.882079567,-0.420025388,0.00809805,0.018639336
AT1G01150,-2.067593802,0.694485787,NA,-1.941879511,0.710677524,NA,2.49904526,0.638742211,NA
AT1G01160,1.619952667,2.76E-13,2.31E-12,0.693717205,0.000458877,0.001333108,0.369819728,0.100673757,0.168442711
AT1G04007,-1.623437878,0.861041507,NA,0.164569091,0.985843383,NA,0.575462528,0.95052652,NA
AT1G01170,1.891420976,1.98E-42,6.80E-41,1.790817645,5.21E-43,2.47E-41,3.388186057,4.04E-156,1.71E-153
AT1G04013,-1.59398628,0.863287544,NA,3.04155036,0.741693017,NA,2.498973176,0.787594235,NA
AT1G01180,0.23112734,0.236710416,0.343113648,-0.357715151,0.053283758,0.095030877,-0.090160447,0.746799083,0.813368513
AT1G01190,-1.260190332,0.277515945,0.390313448,1.435502558,0.322804989,0.424284131,-1.301561128,0.285338798,0.393801175
AT1G01200,-0.432878632,0.271852218,0.383826321,-0.240023263,0.590444991,0.676178271,0.248178874,0.650191536,0.733755965
AT1G01210,1.464534487,4.20E-09,2.44E-08,1.097631313,2.52E-08,1.32E-07,2.053163798,2.33E-25,3.30E-24
AT1G04017,-1.623437878,0.861041507,NA,0,1,NA,0,1,NA
AT1G01220,-1.509489828,1.41E-14,1.29E-13,-0.671223585,2.58E-06,1.05E-05,-1.163287015,2.43E-09,1.32E-08
AT1G04023,0,1,NA,1.126324415,0.903343496,NA,2.498973176,0.787594235,NA
AT1G01225,-0.846360265,0.127501539,0.206433015,-0.316327762,0.487885396,0.585345244,0.421752026,0.458369814,0.565333045
AT1G01230,-0.101429056,0.590426073,0.69917134,0.093876538,0.628112687,0.708502816,0.348472855,0.116869145,0.190688748
AT1G01240,0.334603883,0.115381817,0.190109447,0.779903405,3.07E-05,0.000106683,1.03144034,0.006236973,0.014688735
AT1G01250,1.212991401,0.393858074,0.51538511,0.416938075,0.637421052,0.716006059,0.797817392,0.475745196,0.581161205
AT1G01260,-0.146165398,0.424963315,0.545852073,0.18888309,0.344168658,0.446420295,-0.305773569,0.242297918,0.345404484
AT1G01270,2.951064741,0.404299034,0.52585043,5.962687983,0.101115033,0.164335635,6.452942438,0.076652766,0.133886831
AT1G01280,-2.631416879,0.77551892,NA,3.370023912,0.71478769,NA,3.493247928,0.705767219,NA
AT1G01290,0.606688417,0.063533966,0.114672504,1.165006994,4.92E-05,0.000167077,2.161849251,8.34E-13,5.93E-12
AT1G01300,-1.723205768,2.17E-27,4.08E-26,-1.650022489,1.52E-26,3.33E-25,-2.110702564,5.30E-31,9.52E-30
AT1G01305,-1.657405114,0.858156003,NA,0.995126214,0.91440958,NA,0,1,NA
AT1G01310,-0.923452007,0.875440566,NA,0.164573178,0.978228314,NA,1.537256022,0.798789812,NA
AT1G01320,-0.723717182,5.68E-09,3.27E-08,-0.369436627,0.001394663,0.003699912,-0.468125104,8.51E-05,0.000278563
AT1G01335,-1.202047099,0.896788887,NA,0,1,NA,0,1,NA
AT1G01340,-0.704289864,0.100335045,0.168874198,0.022194382,0.950053707,0.96283443,-2.281824545,0.000749308,0.00210127
AT1G01350,0.920214775,0.000112923,0.000371508,1.829736805,1.74E-15,1.82E-14,1.758920627,8.04E-10,4.56E-09
AT1G01355,-0.979947828,0.579346103,0.689483994,1.208044464,0.518151117,0.612793824,-0.238199349,0.916388425,0.946351048
AT1G01360,1.898179264,2.80E-09,1.66E-08,1.854982123,3.09E-13,2.67E-12,2.253029053,5.96E-13,4.28E-12
AT1G01370,0.040711658,0.923740824,0.950919664,-0.007482092,0.982362414,0.987305787,0.026284474,0.946414309,0.970147842
AT1G01380,0.765569882,0.085622348,0.14759221,0.43384618,0.359051324,0.460775434,1.405059348,0.041506097,0.079156516
AT1G01390,0.228885742,0.262501513,0.372944313,0.378231096,0.062214242,0.108717901,-0.559262655,0.093779185,0.158822261
AT1G01400,-2.369552147,0.797463741,NA,-0.797186233,0.931504932,NA,0,1,NA
AT1G01410,-1.712749468,0.85234853,NA,1.910810948,0.836530145,NA,4.078952117,0.658715105,NA
