Gene.ID,WTD_N_F.FC,WTD_N_F.p,WTD_N_F.q,WTDL_N_F.FC,WTDL_N_F.p,WTDL_N_F.q,WTWL_N_F.FC,WTWL_N_F.p,WTWL_N_F.q
AT4G06638,0.588351258,0.928931783,NA,0.937544516,0.887453815,NA,0,1,NA
AT4G06640,0.372814313,0.947199117,NA,0.998079879,0.859579301,NA,1.53725928,0.786229,NA
AT4G06642,-0.958926555,0.916620033,NA,2.591333899,0.778113437,NA,0,1,1
AT4G06644,-0.573201565,0.867145813,0.912026205,3.125676816,0.385148039,0.48706754,3.480607177,0.346791754,0.458731603
AT4G06646,-1.623437878,0.861041507,NA,2.080113396,0.82215116,NA,2.498973176,0.787594235,NA
AT4G06648,1.013195461,0.912615874,NA,2.932826503,0.750671048,NA,2.498973176,0.787594235,NA
AT4G06650,-1.813521644,0.720259327,NA,1.620354915,0.756024096,NA,3.400582675,0.516892422,0.618840218
AT4G06652,-2.613579122,0.777008409,NA,3.037922986,0.741991993,NA,0,1,NA
AT4G06654,0.199385025,0.95641855,NA,2.634622328,0.490213916,0.587378934,3.436532124,0.378740957,0.490013814
AT4G06656,0.310775515,0.734147627,0.815715987,2.819894063,0.007673948,0.017237338,5.587320509,0.000133468,0.000423556
AT4G06658,-2.598891913,0.778866099,NA,2.193421212,0.811636311,NA,2.498973176,0.787594235,NA
AT4G06660,-1.516359131,0.364831003,0.485138186,4.018922422,0.04110158,0.075922127,5.205400787,0.009554036,0.021660335
AT4G06664,-0.273976173,0.941539729,0.962552305,5.811349142,0.13428953,0.209097053,4.02405987,0.304097994,0.414391511
AT4G06666,0.155310164,0.966221477,0.978731964,4.916209677,0.19862979,0.28870984,5.35340177,0.163406899,0.251247697
AT4G06668,-2.516309935,0.785144651,NA,1.956881538,0.832612385,NA,2.498973176,0.787594235,NA
AT4G06670,-0.579999563,0.803646042,0.866414767,3.724598497,0.141806061,0.21866152,5.038319033,0.056240796,0.102632457
AT4G06672,-0.663547669,0.942445875,NA,0.368160532,0.968231073,NA,0,1,NA
AT4G06674,-0.899942312,0.858922366,NA,3.966076142,0.439140002,NA,2.499046435,0.63304611,0.719403879
AT4G06676,-1.316940358,3.59E-18,4.16E-17,-0.997443098,7.12E-12,5.36E-11,-1.395903354,3.74E-07,1.63E-06
AT4G06678,-0.946914145,0.918383365,NA,0.164569091,0.985843383,NA,0,1,NA
AT4G06680,-0.661678757,0.943122342,NA,2.037689473,0.825749463,NA,2.498973176,0.787594235,NA
AT4G06682,-0.46289012,0.906618387,NA,3.423369381,0.402239714,0.503750335,2.499058317,0.55460592,0.65232412
AT4G06684,-0.875870428,0.924121562,NA,1.075934149,0.907457432,NA,2.498973176,0.787594235,NA
AT4G06686,-1.603023356,0.809296267,NA,4.068474019,0.545238237,0.636691785,4.698832061,0.485597135,0.589850646
AT4G06688,-0.531399406,0.953795246,NA,2.779952862,0.762946689,NA,3.493247928,0.705767219,NA
AT4G06692,-1.246434505,0.599294577,0.70654887,3.408515454,0.172562706,0.256963644,5.166798652,0.045826572,0.08600689
AT4G06694,-0.339722484,0.96862822,NA,2.690859333,0.757741159,NA,3.953825847,0.650499941,0.733953465
AT4G06696,-1.16243942,0.899246706,NA,1.678616961,0.855320077,NA,2.498973176,0.787594235,NA
AT4G06697,0.084774634,0.992676051,NA,2.610748796,0.77746102,NA,0,1,NA
AT4G06701,0.828484289,0.002457977,0.006403196,0.912418295,0.000981556,0.002684057,1.416938936,2.82E-08,1.39E-07
AT4G06699,-1.550296418,0.720506201,NA,2.120541075,0.626189434,0.706911955,5.271027725,0.230896175,0.332423789
AT4G06698,-1.556791208,0.846296175,NA,1.1263355,0.890016321,NA,2.498997768,0.758988467,NA
AT4G06700,1.508090114,0.870113447,NA,2.581337117,0.779921054,NA,0,1,NA
AT4G06702,-1.202057105,0.896788032,NA,0.140738655,0.987855768,NA,2.498973176,0.787594235,NA
AT4G06704,-0.009564869,0.998495532,NA,3.383432735,0.511284137,NA,4.96403008,0.334702874,0.446151568
AT4G06708,0.902394467,0.884489944,NA,3.793835257,0.544128887,NA,2.499030436,0.693472862,NA
AT4G06710,0.504661998,0.956369444,NA,2.080113396,0.82215116,NA,3.411955932,0.711589428,NA
AT4G06712,0.10410359,0.952851801,0.970143469,3.966040027,0.045845171,0.083332681,5.053262029,0.016416816,0.035113249
AT4G06714,0.349907073,0.710148888,0.79664057,4.942469024,0.000757757,0.002115754,5.725087555,0.000154854,0.000486639
AT4G06716,-0.904017541,0.882422601,NA,3.665396381,0.546467378,NA,4.374129223,0.472892751,0.578807599
AT4G06718,-3.331307471,0.718254665,NA,2.080113396,0.82215116,NA,4.367383845,0.636037141,NA
AT4G06720,-0.353025409,0.934800049,NA,2.610419853,0.560328421,NA,4.720488994,0.28894199,0.397618636
AT4G06722,-0.35030497,0.969706207,NA,3.691646861,0.688786627,NA,3.388815578,0.714287658,NA
AT4G06724,0,1,NA,1.126324415,0.903343496,NA,2.498973176,0.787594235,NA
AT4G06726,-2.624032947,0.593916839,NA,2.796072931,0.572077802,0.659888402,5.260111398,0.287561949,0.396115829
AT4G06728,-3.011088231,0.744561976,NA,0,1,NA,2.498973176,0.787594235,NA
AT4G06730,-0.619380221,0.946516448,NA,1.956881538,0.832612385,NA,0,1,NA
AT4G06732,0,1,NA,1.193015911,0.897392072,NA,0,1,NA
AT4G06734,0.53245325,0.934207739,NA,3.494809201,0.58849747,NA,3.30538464,0.612739586,NA
AT4G06735,-1.202047099,0.896788887,NA,0,1,NA,3.493247928,0.705767219,NA
AT4G06736,-0.619345047,0.946178012,NA,3.509586158,0.703160319,NA,0,1,NA
AT4G06738,1.00929704,0.913219861,NA,1.126324415,0.903343496,NA,0,1,NA
AT4G06742,-0.391887649,0.966116965,NA,0.314495984,0.97268425,NA,0,1,NA
AT4G06744,0.285181162,0.112641408,0.186300946,0.20891793,0.20172733,0.292295797,-0.625885605,0.007382497,0.017132824
AT4G06746,0.853819685,0.178249646,0.272535011,2.440269948,0.001409848,0.003733709,1.698852906,0.018469574,0.038878108
AT4G06748,-0.493068968,0.83077978,NA,0.136843209,0.952121546,NA,3.013695329,0.235795278,NA
AT4G06750,-2.852985076,0.757087295,NA,-1.605503232,0.862357555,NA,2.498973176,0.787594235,NA
AT4G06752,-0.886041222,0.685834092,0.777815893,1.570150535,0.480804703,0.578775711,4.002861315,0.113199658,0.185651758
AT4G07031,-0.55165965,0.95236084,NA,0,1,NA,2.498973176,0.787594235,NA
AT4G07310,-2.554559016,0.781343757,NA,1.778965161,0.847232167,NA,0,1,NA
AT4G07315,0.957213873,0.761186937,NA,2.955045061,0.375490332,0.477575732,3.981598252,0.24099072,0.343917403
AT4G07320,-0.094139718,0.99182314,NA,3.080781816,0.738461999,NA,0,1,NA
AT4G07324,-3.799893168,0.680371371,NA,0,1,NA,2.498973176,0.787594235,NA
AT4G07327,0.83484765,0.927603751,NA,1.126324415,0.903343496,NA,2.498973176,0.787594235,NA
AT4G07330,-2.649820555,0.773983029,NA,0,1,NA,4.49435864,0.626163634,NA
AT4G07331,-1.202047099,0.896788887,NA,1.533016576,0.868234189,NA,0,1,NA
AT4G07332,0,1,NA,1.126324415,0.903343496,NA,0,1,NA
AT4G07334,-0.495096182,0.945072935,NA,2.020397376,0.780287549,NA,3.30437267,0.651422513,0.734753314
AT4G07336,-1.271064794,0.890115192,NA,2.154767548,0.81582743,NA,0,1,NA
AT4G07338,-2.94103406,0.556626473,NA,1.54007507,0.758401539,NA,2.499047159,0.629398799,0.716498158
AT4G07339,-0.526585,0.918933604,NA,0.578499272,0.911267522,NA,3.400610066,0.524505526,NA
AT4G07325,-2.163807951,0.815367594,NA,0,1,NA,0,1,NA
AT4G07340,-1.250124656,0.891906661,NA,3.568591871,0.698692794,NA,3.302851876,0.721329021,NA
AT4G07350,-2.094255171,0.820120779,NA,0.164569091,0.985843383,NA,2.498973176,0.787594235,NA
AT4G07355,-1.330054943,0.866466282,NA,3.6373641,0.645209049,NA,4.415767792,0.57671654,NA
AT4G07360,0.65327382,0.931694492,NA,1.698698996,0.824539588,NA,0,1,NA
AT4G07370,-2.1283942,0.771843004,NA,3.875089569,0.600338538,NA,2.499010936,0.737983383,NA
AT4G07380,-3.309003722,0.720076499,NA,2.037689473,0.825749463,NA,0,1,NA
AT4G07390,0.573543386,0.00027763,0.000860456,0.497592476,0.000291845,0.000876008,0.289758461,0.074246064,0.130368336
AT4G07400,-0.877456317,0.021754881,0.045246631,0.015174012,0.958483474,0.969385514,-1.397027738,0.008987194,0.020490446
AT4G07410,-1.135758141,3.74E-23,5.74E-22,-1.27298417,2.05E-32,6.20E-31,-1.106522488,3.38E-15,2.82E-14
AT4G07408,-0.508237633,0.687712992,0.779126796,-0.510619839,0.659905306,0.734874102,0.630380256,0.631711436,0.718352414
AT4G07415,-2.071400203,0.822039893,NA,3.387234911,0.713387427,NA,0,1,NA
AT4G07420,-1.776030197,0.847202122,NA,3.283865766,0.72181194,NA,0,1,NA
AT4G07425,-2.163802423,0.815368059,NA,0.995126214,0.91440958,NA,2.498973176,0.787594235,NA
AT4G07430,-2.23059667,0.795911854,NA,-0.593015892,0.945350461,NA,3.441778905,0.690479466,NA
AT4G07435,-2.019800576,0.827012814,NA,-0.797186233,0.931504932,NA,2.498973176,0.787594235,NA
AT4G07440,0.356077731,0.969299856,NA,2.691013127,0.770758806,NA,0,1,NA
AT4G07450,-2.869158912,0.755747067,NA,2.076167667,0.821985383,NA,0,1,NA
AT4G07452,0.86729122,0.925188279,NA,1.956881538,0.832612385,NA,3.493247928,0.705767219,NA
AT4G07454,0.943000187,0.903089042,NA,2.376226416,0.759228701,NA,3.388940759,0.663668523,NA
AT4G07456,0.009366125,0.998587944,NA,4.168033119,0.43279999,NA,4.008732617,0.454128214,NA
AT4G07458,0.410795299,0.964445142,NA,3.568591871,0.698692794,NA,3.493247928,0.705767219,NA
AT4G07460,0.898059736,0.922062806,NA,2.080113396,0.82215116,NA,2.498973176,0.787594235,NA
AT4G07470,-1.623434081,0.861041829,NA,-0.798655748,0.931226391,NA,2.498973176,0.787594235,NA
AT4G07445,-1.623434081,0.861041829,NA,0,1,NA,2.498973176,0.787594235,NA
AT4G07475,-0.331283233,0.971181457,NA,1.126324415,0.903343496,NA,2.498973176,0.787594235,NA
AT4G07480,-1.202057105,0.896788032,NA,2.691013127,0.770758806,NA,2.498973176,0.787594235,NA
AT4G07485,-3.139058007,0.733493585,NA,1.126324415,0.903343496,NA,0,1,NA
AT4G07490,-1.346413799,0.766770741,NA,3.097254545,0.502769471,NA,4.008259714,0.390500897,0.501758124
AT4G07491,-0.696497121,0.920974199,NA,3.117382154,0.660304584,NA,4.367710064,0.539177247,0.638572674
AT4G07492,-2.869158912,0.755747067,NA,4.008544772,0.663527795,NA,3.493247929,0.705767219,NA
AT4G07493,1.306469173,0.8877124,NA,2.556433968,0.782005676,NA,2.498973176,0.787594235,NA
AT4G07494,-0.70090078,0.939262992,NA,4.128823946,0.654039745,NA,0,1,NA
AT4G07495,0.07515226,0.993460204,NA,3.401433163,0.712233012,NA,4.352202929,0.637222169,NA
AT4G07496,0,1,NA,1.910810948,0.836530145,NA,0,1,NA
AT4G07498,-1.120787825,0.897288086,NA,1.126329526,0.897832372,NA,3.441808189,0.694075338,NA
AT4G07500,-2.598892033,0.778866089,NA,1.126324415,0.903343496,NA,4.044682348,0.661432003,NA
AT4G07502,-0.211964196,0.981149426,NA,3.703156984,0.681913405,NA,2.498977329,0.783472106,0.842420076
AT4G07504,1.59398904,0.863082687,NA,2.080113397,0.82215116,NA,0,1,NA
AT4G07507,-0.318279367,0.11099952,0.184056668,-0.403486971,0.07205842,0.123599446,-0.925079045,0.010913926,0.024383151
AT4G07455,-0.088337536,0.834837474,0.889608656,-0.129962639,0.771443404,0.824366542,1.28329191,0.00752539,0.017442368
AT4G07510,-2.049346378,0.824507115,NA,0,1,NA,1.537217852,0.868360962,NA
AT4G07515,-2.833476814,0.759286223,NA,1.910810948,0.836530145,NA,0,1,NA
AT4G07516,-1.45176042,0.360466314,0.480628111,3.247840979,0.076667747,0.130257911,3.785033381,0.055507112,0.101455097
AT4G07517,-4.952719988,0.358943124,NA,-0.072775685,0.989128773,NA,3.400645023,0.534571841,0.634566185
AT4G07518,-0.368440461,0.967921716,NA,1.126324415,0.903343496,NA,2.498973176,0.787594235,NA
AT4G07519,-2.049332907,0.824508257,NA,1.118358072,0.903809173,NA,0,1,NA
AT4G07521,-3.331307471,0.718254665,NA,2.610748796,0.77746102,NA,4.71557859,0.609127804,NA
AT4G07522,0.433789637,0.897866304,NA,1.21736631,0.722090981,NA,4.683687361,0.185321649,0.278657278
AT4G07523,0,1,NA,1.11835827,0.903809156,NA,0,1,NA
AT4G07520,-2.11358846,0.407484721,0.528848408,0.586104788,0.819940315,0.863488222,3.398817569,0.244231644,0.347516695
AT4G07524,0.05889866,0.994925518,NA,0,1,NA,0,1,NA
AT4G07525,-0.661678757,0.943122342,NA,1.126324415,0.903343496,NA,2.498973176,0.787594235,NA
AT4G07526,-3.921582034,0.670662168,NA,0.995126214,0.91440958,NA,0,1,NA
AT4G07528,0.825002142,0.89678347,NA,3.037676079,0.634419505,NA,4.758350005,0.455737738,NA
AT4G07530,-0.959679338,0.842410171,NA,0.256170927,0.957030916,NA,4.374493181,0.366040791,NA
AT4G07540,-2.293087108,0.70032085,NA,4.131123111,0.491437161,NA,4.935452589,0.411840323,0.52153044
AT4G07550,-1.59398628,0.863287544,NA,0,1,NA,0,1,NA
AT4G07560,0.326912872,0.971741738,NA,-1.998790909,0.828847009,NA,3.388815578,0.714287658,NA
AT4G07563,0.240358431,0.96316761,NA,1.11463542,0.831177486,NA,3.307765706,0.537700636,0.637207913
AT4G07566,-2.649819298,0.773983134,NA,3.098273825,0.737022887,NA,0,1,NA
AT4G07570,1.184041443,0.828507434,NA,2.675184558,0.623525034,NA,2.499042246,0.652229078,NA
AT4G07580,-0.155527866,0.975455158,NA,2.924773942,0.571578245,NA,0,1,1
AT4G07583,-0.69564979,0.940203896,NA,-0.797186233,0.931504932,NA,0,1,NA
AT4G07586,-2.196678812,0.811206566,NA,1.22744899,0.894022548,NA,2.498973176,0.787594235,NA
AT4G07590,2.693517808,0.770181112,NA,1.126324415,0.903343496,NA,0,1,NA
AT4G07595,-0.661678757,0.943122342,NA,-0.643747908,0.944578446,NA,2.498973176,0.787594235,NA
AT4G07600,-0.476365387,0.854110144,NA,1.038021435,0.704569106,0.772200602,4.034134067,0.162976709,0.250698348
AT4G07605,-0.458178895,0.960505708,NA,1.126324415,0.903343496,NA,3.40103585,0.7132887,NA
AT4G07620,-1.340244601,0.828049482,NA,3.015238213,0.628520198,NA,3.305755778,0.599732167,NA
AT4G07630,-0.042646396,0.995289204,NA,0.820988419,0.909757784,NA,4.044114701,0.580658311,0.675124593
AT4G07640,0.648229491,0.943956611,NA,2.084600004,0.820765414,NA,2.498973176,0.787594235,NA
AT4G07650,-3.861167975,0.675099774,NA,0.331544224,0.971277047,NA,4.044682347,0.661432003,NA
AT4G07660,0.320680514,0.908003585,0.940020478,3.2854252,0.271976569,0.370784964,3.399146194,0.276580981,0.384212091
AT4G07662,-0.619977878,0.935428791,NA,3.155618791,0.683012101,NA,4.009448586,0.604487374,NA
AT4G07664,-3.013022265,0.506361613,NA,1.519928414,0.736844315,NA,2.499052961,0.595624826,0.687923043
AT4G07666,-0.830518728,0.924088821,NA,2.610745823,0.764909027,NA,4.394929122,0.614278171,NA
AT4G07668,-0.282873469,0.92333004,NA,2.910473391,0.34990435,NA,4.419062937,0.160542564,0.247549236
AT4G07670,-2.09673138,0.81964729,NA,-1.371921117,0.881921039,NA,3.973686956,0.667075284,NA
AT4G07675,1.00929704,0.913219861,NA,0.287358967,0.975209575,NA,0,1,NA
AT4G07680,-0.408307446,0.896338942,0.932466417,0.990287147,0.754436701,0.811206134,5.845351835,0.074976591,0.131401288
AT4G07685,-3.331307471,0.718254665,NA,-0.797186233,0.931504932,NA,0,1,NA
AT4G07686,-1.202047099,0.896788887,NA,-0.797186233,0.931504932,NA,2.498973176,0.787594235,NA
AT4G07688,0,1,NA,-0.797186233,0.931504932,NA,0,1,NA
AT4G07690,-1.893808948,0.836723547,NA,2.057944696,0.823528692,NA,4.352202926,0.63722217,NA
AT4G07693,-0.810305012,0.929721732,NA,0,1,NA,3.953762094,0.668662626,NA
AT4G07696,-0.197896949,0.982804412,NA,2.097752855,0.820158175,NA,3.40103585,0.7132887,NA
AT4G07699,-2.163807951,0.815367594,NA,1.126324415,0.903343496,NA,0,1,NA
AT4G07700,-0.482526808,0.915600791,NA,1.00005061,0.832619134,NA,4.968191205,0.285671499,0.394143283
AT4G07703,0.236526464,0.957205855,NA,3.320960833,0.462154649,NA,3.389530088,0.459724029,0.566647611
AT4G07706,-2.002014167,0.827964748,NA,3.037922986,0.741991993,NA,2.498973176,0.787594235,NA
AT4G07713,-0.536035386,0.953368985,NA,1.075934149,0.907457432,NA,2.498973176,0.787594235,NA
AT4G07720,-0.885637397,0.923031281,NA,3.35260873,0.716205556,NA,2.498973176,0.787594235,NA
AT4G07725,-0.271430762,0.891904112,0.928846501,4.005844499,0.077454427,0.131343109,5.397519184,0.01873443,0.039357324
AT4G07730,-0.143454871,0.987583885,NA,2.001593574,0.828813619,NA,2.498973176,0.787594235,NA
AT4G07733,-0.279386888,0.949591511,NA,2.475850455,0.583270051,NA,3.310260082,0.475152952,0.580876226
AT4G07736,0.868507531,0.846425542,NA,1.681348543,0.709485727,NA,4.389127341,0.342997101,0.454761687
AT4G07738,0,1,NA,1.278598864,0.889652616,NA,0,1,NA
AT4G07740,-0.458168889,0.960506571,NA,2.740720485,0.766616566,NA,0,1,NA
AT4G07742,-4.165108191,0.651401616,NA,3.035593387,0.741816159,NA,3.346442782,0.717755366,NA
AT4G07744,-2.163802423,0.815368059,NA,1.126324415,0.903343496,NA,0,1,NA
AT4G07747,-0.661682554,0.943122016,NA,2.909296414,0.752618589,NA,0,1,NA
AT4G07750,-0.640972521,0.942332035,NA,1.327929037,0.881153343,NA,0,1,NA
AT4G07755,-0.499276207,0.836358765,0.890553455,2.938532778,0.253546708,0.351266566,4.749511413,0.078567231,0.136883124
AT4G07760,-1.404908877,0.658096207,NA,3.214787291,0.33460175,NA,4.037607742,0.23448683,0.336413699
AT4G07770,0.831990595,0.928231987,NA,1.500546473,0.870169065,NA,4.017671833,0.663576674,NA
AT4G07780,-0.288713394,0.975033679,NA,3.01970002,0.743494556,NA,0,1,NA
AT4G07790,-2.074486064,0.822376382,NA,-0.69960143,0.939460101,NA,0,1,NA
AT4G07795,-0.458178895,0.960505708,NA,1.956881538,0.832612385,NA,3.346442782,0.717755366,NA
AT4G07800,-1.92845473,0.833967764,NA,2.909296067,0.752618618,NA,2.498973176,0.787594235,NA
AT4G07803,-0.883805454,0.90691201,NA,3.897311703,0.608960161,NA,3.400961926,0.657376068,NA
AT4G05215,-1.439484036,0.876478088,NA,0,1,NA,2.498973176,0.787594235,NA
AT4G07806,0.146643782,0.973186107,0.982940989,4.509664697,0.317168754,0.418337289,5.418641938,0.23020075,0.331648213
AT4G07810,-0.594038465,0.887306028,NA,2.329933033,0.588832775,NA,0,1,1
AT4G07812,-1.202052626,0.896788415,NA,0,1,NA,0,1,NA
AT4G07820,0.686744461,3.76E-08,1.97E-07,0.733805495,5.43E-09,3.08E-08,0.984981276,0.032857995,0.064639834
AT4G05225,-2.163807951,0.815367594,NA,0,1,NA,0,1,NA
AT4G07825,0.836276681,3.39E-06,1.39E-05,1.198234635,1.56E-10,1.03E-09,1.227172555,8.11E-08,3.81E-07
AT4G07830,-2.681459777,0.350693463,0.469935584,0.594131714,0.834044621,0.874919581,5.043989585,0.096658819,0.162974019
AT4G07840,-0.14345499,0.987583875,NA,1.22744899,0.894022548,NA,2.498973176,0.787594235,NA
AT4G07835,0.583570279,0.949665135,NA,1.075934149,0.907457432,NA,0,1,NA
AT4G05235,-2.163807951,0.815367594,NA,1.910810979,0.836530142,NA,0,1,NA
AT4G07841,-0.619380221,0.946516448,NA,-0.797186233,0.931504932,NA,0,1,NA
AT4G07843,-0.157718493,0.986315276,NA,3.118999517,0.735318934,NA,3.441930407,0.709949435,NA
AT4G05245,-1.623434081,0.861041829,NA,2.037689473,0.825749463,NA,0,1,NA
AT4G07846,0.410795299,0.964445142,NA,3.780455085,0.681670826,NA,0,1,NA
AT4G07850,-0.617874194,0.734223112,0.815757435,5.518979148,0.008359678,0.018616578,3.397298109,0.141016192,0.222342889
AT4G07856,-1.02102499,0.517343243,0.633628201,2.404484264,0.135076736,0.210083405,4.446130053,0.020792206,0.043188884
AT4G07862,0.288711087,0.975167107,NA,0,1,NA,0,1,NA
AT4G07868,0.266388827,0.936142122,NA,0.40674495,0.905614895,NA,0.646458537,0.856222301,0.900438407
AT4G07869,-2.163807951,0.815367594,NA,0,1,NA,0,1,NA
AT4G07874,-2.755230261,0.761136471,NA,1.678485082,0.852766062,NA,5.227098475,0.563702725,0.660431691
AT4G07890,0.153641507,0.986649659,NA,2.037689473,0.825749463,NA,2.498973176,0.787594235,NA
AT4G07893,0.566067699,0.951004575,NA,1.701405559,0.853845481,NA,1.537217852,0.868360962,NA
AT4G07896,0.38064787,0.967179479,NA,0.164569091,0.985843383,NA,2.498973176,0.787594235,NA
AT4G07915,0.508248312,0.894032344,NA,3.987186778,0.308357315,NA,4.420359821,0.262529919,0.368310372
AT4G07917,1.363633967,0.882183408,NA,3.337930309,0.717401378,NA,0,1,NA
AT4G07920,-0.956784934,0.845920013,NA,2.912672801,0.560365937,NA,3.38937756,0.504404563,0.607799481
AT4G07931,1.013195461,0.912615874,NA,3.059508179,0.740213478,NA,0,1,NA
AT4G07932,0.058903398,0.99492511,NA,3.037922986,0.741991993,NA,3.493247928,0.705767219,NA
AT4G07933,-2.816114359,0.759519319,NA,0.970648161,0.916152722,NA,2.498973176,0.787594235,NA
AT4G07934,-1.649902818,0.857197371,NA,3.432186068,0.709734886,NA,0.575462528,0.95052652,NA
AT4G07935,-1.123710797,0.616165734,0.721026817,1.41221564,0.54424575,0.635720562,2.499071545,0.355051227,0.467310757
AT4G07946,-1.657410769,0.858155523,NA,1.193012224,0.897392389,NA,0,1,NA
AT4G07947,-3.25586177,0.564571659,0.675800956,2.363977466,0.67623804,0.748703444,4.694056355,0.409783472,0.519334567
AT4G07936,1.59398904,0.863082687,NA,0,1,NA,0,1,NA
AT4G07937,-2.841534433,0.622819858,NA,2.90286675,0.612248283,NA,3.400718198,0.55710425,NA
AT4G07938,0.365369451,0.885151784,0.923918894,2.634968309,0.339655095,0.441757496,3.456219221,0.215236932,0.314284211
AT4G07939,-2.598892033,0.778866089,NA,0,1,NA,0,1,NA
AT4G07941,0.553953505,0.914760702,NA,1.648780866,0.754951396,NA,4.949949216,0.345793527,0.457565172
AT4G07942,0.214342841,0.939918667,0.961679321,2.26219873,0.435828652,0.535890089,4.394926321,0.151332754,0.235779807
AT4G07943,-1.623434081,0.861041829,NA,1.619581793,0.860832269,NA,0,1,NA
AT4G07944,-2.833477408,0.759286173,NA,0.368166902,0.968230525,NA,0,1,NA
AT4G07945,-0.744059826,0.935608942,NA,3.401433163,0.712233012,NA,0,1,NA
AT4G05255,-1.202047099,0.896788887,NA,1.126324415,0.903343496,NA,2.498973176,0.787594235,NA
AT4G07940,-1.630463193,0.642439485,NA,1.30945772,0.720058512,NA,3.315360835,0.378122465,0.489503196
AT4G05275,0.849748875,0.926700744,NA,0.435845098,0.962371512,NA,0,1,NA
AT4G07950,2.099133042,8.08E-20,1.03E-18,1.876573992,5.51E-12,4.19E-11,3.227270725,1.67E-29,2.82E-28
AT4G07960,-1.27173123,0.014608656,0.031793232,-0.395239343,0.191467302,0.280212899,-0.676621918,0.039436461,0.075835107
AT4G07965,-1.202057105,0.896788032,NA,1.126324415,0.903343496,NA,3.346442782,0.717755366,NA
AT4G07967,0.838539031,0.770589279,NA,1.756757569,0.559427792,0.64863945,4.394928658,0.154018851,0.239072943
AT4G07970,-1.306481118,0.775047487,NA,3.086637629,0.50785246,NA,3.40041032,0.473548333,0.579403782
AT4G07990,0.730417332,0.006203213,0.014797835,1.430595894,3.44E-12,2.68E-11,1.797982071,1.46E-09,8.09E-09
AT4G05285,-0.589050071,0.458458991,0.577221133,0.691902491,0.289845427,0.389561376,1.596106395,0.013912314,0.030293474
AT4G08000,-0.790642033,0.931239028,NA,2.581337117,0.779921054,NA,2.498973176,0.787594235,NA
AT4G08010,-2.163802423,0.815368059,NA,2.639589835,0.775050838,NA,0,1,NA
AT4G08013,0.288711087,0.975167107,NA,2.001594817,0.828813514,NA,0,1,NA
AT4G08016,-1.625670052,0.860031925,NA,2.581337117,0.779921054,NA,2.498973176,0.787594235,NA
AT4G08020,-0.489297847,0.927172707,NA,3.610747154,0.506737492,NA,3.98191884,0.466662913,NA
AT4G05295,-0.909096645,0.814190536,NA,-2.158874863,0.590582261,NA,2.499059765,0.541201464,NA
AT4G07995,-0.150746602,0.869951821,0.913694239,2.644278314,0.000102096,0.000329826,3.920834478,0.000114835,0.000368151
AT4G08022,-2.163802423,0.815368059,NA,-0.797186233,0.931504932,NA,0,1,NA
AT4G08025,-1.657405114,0.858156003,NA,1.126324415,0.903343496,NA,0,1,NA
AT4G08028,-2.163802423,0.815368059,NA,1.126324415,0.903343496,NA,0,1,NA
AT4G08030,1.931767142,0.649337668,NA,3.057711498,0.480565203,NA,3.981814552,0.360668743,0.472701149
AT4G08032,-1.202047099,0.896788887,NA,1.126324415,0.903343496,NA,0,1,NA
AT4G08035,0.278670932,0.219297926,0.322494691,1.046305515,8.92E-06,3.36E-05,1.152910059,2.49E-06,9.91E-06
AT4G08033,-0.379584177,0.967057785,NA,2.154767556,0.81582743,NA,0,1,NA
AT4G08034,0.29163462,0.974792613,NA,2.154767548,0.81582743,NA,0,1,NA
AT4G08036,-1.202047099,0.896788887,NA,1.126324415,0.903343496,NA,2.498973176,0.787594235,NA
AT4G08038,-1.623437878,0.861041507,NA,1.729257803,0.851469508,NA,0,1,NA
AT4G08039,0,1,NA,1.910810948,0.836530145,NA,2.498973176,0.787594235,NA
AT4G08040,0.13157415,0.78523199,0.854055484,0.68324208,0.226708986,0.321496101,-0.597899563,0.413193311,0.522858693
AT4G08050,-0.103094806,0.956675122,0.972778033,3.113261385,0.129838365,0.203275646,5.007981673,0.023968812,0.048977346
AT4G08053,-1.511833257,0.64424694,0.745027827,1.739086778,0.604668432,0.688519041,3.981636683,0.25730603,0.36234906
AT4G08054,-1.429450441,0.853308572,NA,2.037492417,0.794834886,NA,2.49900351,0.750470262,NA
AT4G08056,-2.555741772,0.782483034,NA,0,1,NA,0,1,NA
AT4G08060,-2.536568718,0.218941697,0.322083643,3.207188224,0.143819363,0.221189784,4.421136646,0.052834101,0.097228317
AT4G08070,0.125005206,0.953583989,0.970732008,2.595579381,0.269764802,0.3682653,5.710193263,0.017740477,0.037547354
AT4G08071,1.197321411,0.896759077,NA,0,1,NA,0,1,NA
AT4G08072,1.581118705,0.86386651,NA,1.564165343,0.865569592,NA,0,1,NA
AT4G08074,0.103225955,0.991081506,NA,0,1,NA,3.302851892,0.72132902,NA
AT4G08076,-1.00700628,0.913013801,NA,2.610748796,0.77746102,NA,2.498973176,0.787594235,NA
AT4G08078,-0.292241029,0.931962702,0.95631167,3.748061915,0.293987984,0.393763426,4.394972266,0.224908659,0.325695489
AT4G08080,-1.90784026,0.749780197,NA,2.340948715,0.698256853,NA,3.40077563,0.5764706,0.671353239
AT4G05315,1.303596882,0.469547058,NA,2.240947841,0.24021148,NA,-1.64208324,0.414802722,0.524340527
AT4G05335,-1.623434081,0.861041829,NA,-1.998790909,0.828847009,NA,0,1,NA
