Gene.ID,WTD_SM_P.FC,WTD_SM_P.p,WTD_SM_P.q,WTDL_SM_P.FC,WTDL_SM_P.p,WTDL_SM_P.q,WTWL_SM_P.FC,WTWL_SM_P.p,WTWL_SM_P.q
AT5G55630,-0.951808215,0.044880759,0.164703856,-0.170906819,0.539196062,0.761543397,0.265891022,0.320319562,0.520946628
AT5G55640,1.785967803,0.000341636,0.003383079,-0.367347425,0.443475543,0.676580155,0.664815519,0.050139421,0.13694119
AT5G55650,6.769945719,0.000247072,0.002563437,0,1,1,1.279722514,0.464641046,0.663458504
AT5G55660,-0.805767869,0.045265046,0.165561087,-1.197586975,2.73E-06,3.64E-05,-1.528658784,3.35E-10,6.60E-09
AT5G55670,-0.63780054,0.122809425,0.320260715,-0.908054349,0.000765809,0.005178922,-1.240793025,7.79E-07,8.68E-06
AT5G55680,0,1,1,2.211818381,0.761916093,NA,0,1,NA
AT5G55690,0,1,NA,0,1,NA,0,1,NA
AT5G55700,1.612429822,1.13E-08,2.77E-07,0.798755311,0.003238575,0.017200703,0.123312225,0.704956849,0.856327257
AT5G55710,0.511681574,0.25174772,0.503454273,-0.853067106,0.014626534,0.057988199,-0.181472069,0.332542486,0.533839976
AT5G55720,0,1,1,0,1,NA,3.139215031,0.2111241,NA
AT5G55730,-1.455440844,5.28E-05,0.000651458,-0.633354811,0.015514683,0.060659688,-0.819520946,0.003841407,0.016704474
AT5G55740,-0.105572097,0.85357444,1,-0.2065509,0.453049804,0.685820681,-0.703350799,0.008857837,0.033715011
AT5G55750,3.677670689,0.238847618,0.487076549,2.211865972,0.49001431,NA,0,1,NA
AT5G55760,1.025285242,0.165258505,0.38660571,-0.291441794,0.638930153,0.838121719,0.157256054,0.726606411,0.870879154
AT5G55770,2.210260289,0.334273721,0.597744547,0.588053946,0.803053794,NA,1.225775078,0.614620824,NA
AT5G55780,0.452116924,0.746048172,0.942765446,1.307266197,0.397133974,0.634162977,0.28308364,0.798823625,0.922517913
AT5G55790,2.389919787,4.49E-11,1.50E-09,2.173668864,6.22E-11,1.82E-09,2.191023669,7.65E-14,2.50E-12
AT5G55800,0,1,NA,4.135292836,0.655697129,NA,0,1,NA
AT5G55810,0.805601106,0.273955251,0.52962701,0.110441622,0.872484954,0.992269457,0.953010801,0.061890837,0.160406387
AT5G55820,-0.502387655,0.454826539,0.715966864,-0.208646189,0.558054579,0.778086202,-0.234033983,0.429898248,0.631847476
AT5G55830,-1.081479564,0.368863648,0.633335946,-1.204490016,0.170625166,0.367574347,0.580480495,0.386647497,0.590601935
AT5G55840,-0.263446334,0.757406295,0.949099366,0.268972906,0.516409118,0.742705885,0.493378835,0.161229076,0.325000442
AT5G55850,0.171485815,0.461582452,0.722277897,0.087335465,0.637482454,0.837007219,0.19218378,0.260292819,0.451454025
AT5G55855,0,1,NA,0,1,NA,0,1,NA
AT5G55856,0,1,NA,0,1,NA,0,1,NA
AT5G55860,-0.263944599,0.424508439,0.688008858,0.025712633,0.920884652,1,-0.51037095,0.089459042,0.211188382
AT5G55870,0,1,NA,0,1,NA,0,1,NA
AT5G55875,0,1,1,0,1,1,0,1,1
AT5G55880,0,1,1,0,1,NA,0,1,NA
AT5G08375,0,1,NA,0,1,NA,0,1,NA
AT5G55890,0,1,1,0,1,NA,0,1,NA
AT5G55893,0,1,NA,0,1,NA,0,1,NA
AT5G55896,-0.199574652,0.502330017,0.759402786,0.283037451,0.211458093,0.421760952,0.371946822,0.089177037,0.210707933
AT5G08385,0,1,NA,0,1,NA,0,1,NA
AT5G08395,0,1,NA,0,1,NA,0,1,NA
AT5G55900,1.607707802,0.016435027,0.081044508,-2.190574833,0.068344292,0.189589368,0.978865976,0.025691488,0.079830626
AT5G55910,0.259277871,0.18017606,0.40734959,0.311596843,0.020021789,0.074150087,0.440409517,0.001571273,0.00781858
AT5G55920,-0.788501416,0.088145179,0.258754682,-0.916973089,0.000186415,0.001522199,-0.876728366,1.93E-07,2.43E-06
AT5G55930,0.176848756,0.864162284,1,0.978273813,0.020201233,0.074603249,1.143876392,0.000237735,0.001493769
AT5G08425,3.691824101,0.197801152,0.432641476,0,1,NA,2.177418726,0.461127773,NA
AT5G55940,-0.204684508,0.577712806,0.822268155,-0.287793161,0.240079258,0.458433832,-0.162839935,0.384126437,0.588075441
AT5G55950,1.174081878,0.265214718,0.519452487,1.193920048,0.060606863,0.173434906,0.659657932,0.61920309,0.794319735
AT5G55960,-0.50105303,0.068067201,0.218665092,-0.013662954,0.940245698,1,-0.287857564,0.344411223,0.546354525
AT5G55970,0.119420591,0.703491217,0.915113587,0.989906097,4.80E-06,6.01E-05,1.300215719,7.25E-06,6.62E-05
AT5G55980,0,1,NA,0,1,NA,0,1,NA
AT5G55990,0.681895485,0.088839214,0.260120041,0.806857028,0.000699718,0.004778152,0.975947741,8.78E-06,7.88E-05
AT5G56000,-0.802898893,0.026929991,0.115358817,-0.905620617,7.33E-05,0.000671368,-1.372887977,5.16E-10,9.84E-09
AT5G56010,-1.254602003,6.10E-15,2.88E-13,-1.082947424,2.63E-36,6.57E-34,-1.471937566,3.25E-58,3.30E-55
AT5G56020,-0.156343589,0.79438866,0.973417348,-0.453829754,0.398556989,0.635164744,1.222269687,0.000470004,0.002728501
AT5G56030,-1.024258791,1.72E-10,5.36E-09,-1.185899037,8.51E-34,1.93E-31,-1.537726382,1.75E-54,1.58E-51
