Gene.ID,WTD_SM_P.FC,WTD_SM_P.p,WTD_SM_P.q,WTDL_SM_P.FC,WTDL_SM_P.p,WTDL_SM_P.q,WTWL_SM_P.FC,WTWL_SM_P.p,WTWL_SM_P.q
AT2G09415,0,1,NA,0,1,NA,0,1,NA
AT2G43120,-1.117962803,0.085143584,0.253393145,0.246780762,0.318049983,0.550233803,-0.576513895,0.126295582,0.273821244
AT2G43130,-0.073514583,0.862113805,1,0.020262493,0.940279892,1,0.637116118,0.004744836,0.020068363
AT2G43140,1.472844497,0.226797649,0.470981651,1.337968234,0.102597993,0.255163002,0.196746115,0.51939117,0.711112157
AT2G09420,0,1,NA,0,1,NA,0,1,NA
AT2G43150,1.305528457,3.69E-18,2.31E-16,1.413218118,1.85E-23,2.12E-21,1.313321804,7.70E-19,4.49E-17
AT2G43160,0.27838673,0.016203318,0.080101897,-0.081112401,0.424284157,0.658623503,-0.411712255,8.16E-05,0.000582861
AT2G09425,0,1,NA,0,1,NA,0,1,NA
AT2G43180,0.691529711,0.249772982,0.501469417,-0.310471658,0.540110007,0.762534955,-0.791126849,0.042725747,0.12050763
AT2G43190,1.154939012,0.060405478,0.201605451,0.345245791,0.515397785,0.741992548,-0.5211116,0.405523744,0.609629848
AT2G43200,0.579933081,0.494060931,0.751962603,0.468539388,0.502877713,0.729807147,0.569324112,0.307934295,0.506182287
AT2G43210,0.006931917,0.983713578,1,0.062569016,0.797266377,0.950989029,0.133993014,0.524277947,0.715746422
AT2G43220,3.904697193,0.068690317,NA,0,1,NA,1.275691407,0.553211822,NA
AT2G43230,-0.505628465,0.679693039,0.899842624,2.139630074,0.04238113,0.132739407,-0.322045617,0.768445182,0.901250109
AT2G43235,1.525020427,0.002172557,0.016558626,-0.34285225,0.267107071,0.490930558,-0.788420309,0.013102386,0.046574605
AT2G09430,0,1,NA,0,1,NA,2.177334571,0.814397116,NA
AT2G43240,-0.585360333,0.367866334,0.632273218,-0.070910969,0.813273329,0.959586344,0.173680067,0.662277945,0.825801276
AT2G43250,1.107225233,0.013586193,0.070072151,0.94206104,0.003846792,0.0197724,-0.129374999,0.761606666,0.89520772
AT2G43255,0,1,NA,0,1,NA,2.177334571,0.814397116,NA
AT2G43260,-0.495846393,0.554667107,0.804905244,0.548085657,0.149567818,0.335397205,0.466126831,0.162832351,0.327340484
AT2G43261,0,1,NA,0,1,NA,0,1,NA
AT2G43270,3.487221765,0.148420657,0.361224398,0,1,NA,4.101008388,0.106397519,NA
AT2G43280,0.740269968,0.313742213,0.576309843,1.105592669,0.003215308,0.017098761,0.556770545,0.172408843,0.340972579
AT2G43290,-0.922977256,0.005025933,0.0322764,-0.100582877,0.69429122,0.879817402,0.416154282,0.16285317,0.327355383
AT2G43300,0,1,NA,0,1,NA,0,1,NA
AT2G43310,1.19823499,0.352408373,0.616806931,0.305938687,0.821742008,0.964114524,-1.606210232,0.211571165,0.393365576
AT2G09435,5.808129357,0.076474709,NA,2.211865439,0.499908711,NA,0,1,NA
AT2G43320,-0.591781178,0.292048793,0.55043074,-0.300813071,0.402211154,0.638604638,0.189261067,0.540842159,0.73109872
AT2G09440,0,1,NA,0,1,NA,0,1,NA
AT2G43330,-0.769956517,0.052186149,0.182511585,0.348836847,0.147086553,0.331626005,0.743397208,0.003853642,0.016745751
AT2G09445,0,1,NA,0,1,NA,2.177334571,0.814397116,NA
AT2G09450,0,1,NA,0,1,NA,0,1,NA
AT2G43340,0.182037406,0.636712875,0.869669298,0.354398046,0.117756675,0.282975934,0.156107753,0.464220611,0.66304704
AT2G43350,0.339232334,0.419340891,0.6829267,0.300898832,0.316128672,0.548230578,0.752546892,0.002483133,0.011559707
AT2G09455,4.054071222,0.123856626,NA,2.379925491,0.366485063,NA,2.177420376,0.417529203,NA
AT2G43360,-0.113388753,0.754013934,0.947010895,-0.970533133,0.000193554,0.00157335,-0.876298241,1.16E-06,1.25E-05
AT2G43370,1.715549858,0.002366526,0.017758576,-0.023251613,0.96792401,1,1.539450821,0.000396925,0.002346094
AT2G43375,-0.087411634,0.841298358,1,1.344503265,0.00093747,0.006153154,1.537857197,6.37E-05,0.000467111
AT2G09460,4.846356973,0.004097106,0.027614904,4.995528232,0.000401124,0.002979863,2.246138865,0.155808848,0.317693387
AT2G09465,-0.26979668,0.559534125,0.808335518,1.248904928,0.003372979,0.017779603,1.71204962,2.36E-05,0.000192356
AT2G43386,0,1,NA,0,1,NA,0,1,NA
AT2G43390,1.816414338,0.302324547,0.562978925,2.801519592,0.108386719,0.266117919,-0.501365493,0.778081774,NA
AT2G43400,-0.269619861,0.494614223,0.752460909,0.328162603,0.251417303,0.471808609,-0.320015737,0.208609715,0.389934056
AT2G43410,0.240660627,0.302232723,0.562954338,0.726276505,4.26E-07,6.84E-06,0.206952039,0.163586116,0.328423137
AT2G09470,0,1,NA,0,1,NA,0,1,NA
AT2G43420,0.062559825,0.867323688,1,-0.011100834,0.967862069,1,0.165834246,0.512014427,0.704687237
AT2G43430,1.017239371,0.000676069,0.00610059,0.310031037,0.24560735,0.464955774,0.179592835,0.55786494,0.745193295
AT2G43440,3.419196326,0.034121364,0.137205629,-0.160124749,0.915212887,1,1.254470312,0.419386313,NA
AT2G43445,0.658038815,0.261914597,0.515367279,0.712569762,0.073098257,0.199085443,1.14687343,0.006235747,0.025133415
AT2G43450,0,1,NA,0,1,NA,2.177334571,0.814397116,NA
AT2G09475,0,1,NA,0,1,NA,0,1,NA
AT2G43460,-0.452921279,0.115472753,0.306502034,-0.167299343,0.359105885,0.595239922,0.507107686,0.000463924,0.002697057
AT2G43465,1.433384254,0.1746282,0.399746078,1.866464492,0.005117795,0.025091938,0.29020601,0.630084602,0.802502515
AT2G43470,2.283555512,0.290434388,0.548590274,0,1,NA,1.928411819,0.356425274,NA
AT2G43480,0.316774347,0.798634652,0.976141471,-0.494637289,0.696568661,0.881639007,-1.222526584,0.326524598,0.527494731
AT2G43490,0.276511146,0.490071574,0.748223995,0.417988045,0.111379697,0.271298196,0.004334907,0.984779757,1
AT2G09480,0,1,NA,0,1,NA,0,1,NA
AT2G43500,1.144372725,0.010822539,0.059344182,0.896322657,0.003094983,0.016588449,0.454500758,0.179227284,0.350825123
AT2G43510,-0.91128816,0.276988737,0.533217593,-1.131573097,0.043741154,0.136034989,0.355997669,0.44710385,0.647493491
AT2G43520,-1.261752189,0.290719654,0.548860423,0.364458149,0.538701682,0.761170096,0.962915233,0.004123084,0.01775544
AT2G43530,1.384028311,0.037647016,0.146645978,-1.055094973,0.027086393,0.09418713,0.098965647,0.760636001,0.894385097
AT2G43535,0.331033041,0.09637922,0.274193335,-0.656763696,0.001181088,0.007466196,0.464129788,0.033718806,0.099563384
AT2G43540,3.722063823,6.04E-21,4.71E-19,1.734903055,0.000580347,0.004071154,2.365374748,3.56E-10,6.97E-09
AT2G43550,-0.386320983,0.745835014,0.942587955,-0.812254724,0.015541985,0.060728733,0.340887418,0.163423077,0.328149776
AT2G43560,-0.313412652,0.482677188,0.741544473,-0.295467349,0.100371518,0.250789419,-0.411780281,0.002784356,0.012703523
AT2G43570,-1.676013332,0.10270075,0.284520769,-0.298581259,0.48515752,0.712879321,0.424745649,0.586061258,0.7685621
AT2G43580,1.950823412,0.197617903,0.432417536,-0.013311225,0.99310415,NA,0.696948071,0.679834223,NA
AT2G43590,-0.477238008,0.269282349,0.5245121,-0.728070725,0.026671819,0.092992434,-1.140363471,0.000603917,0.003402362
AT2G43600,0.170157563,0.896003375,1,-1.610428777,0.224173023,0.438034644,0.300284921,0.802646798,0.925404989
AT2G43610,-2.169673322,5.66E-10,1.64E-08,-1.448457326,4.27E-10,1.13E-08,-1.246657771,2.28E-05,0.000186228
AT2G09490,0,1,1,0,1,NA,1.626528689,0.431772097,NA
AT2G43620,-0.998508808,0.416175405,0.679694692,-1.578851635,0.204141344,0.412775434,-0.573866298,0.084439142,0.202251376
AT2G43630,0.133863036,0.74527792,0.94235572,-0.115893319,0.61359637,0.821063023,-0.128270161,0.480292341,0.677800144
AT2G43640,-0.342187019,0.608891621,0.847640604,-0.327312341,0.466261528,0.696571827,-0.934338684,0.01293823,0.046075835
AT2G09495,0,1,NA,0,1,NA,0,1,NA
AT2G43650,-1.293788429,0.047437986,0.171121079,-1.040478489,0.000154959,0.001293429,-0.834395597,2.33E-05,0.000189621
AT2G43660,2.975491922,0.329001877,NA,1.428452994,0.649588176,NA,0.695534917,0.821006928,NA
AT2G43670,1.976972158,0.131508532,0.334170655,0.00661183,0.995916066,1,-1.036314287,0.421848919,0.624714038
AT2G43680,1.528489275,8.85E-24,8.33E-22,0.825562519,2.85E-08,5.62E-07,0.29979185,0.072980179,0.181295861
AT2G43690,0.03095243,0.980352546,1,-0.147264202,0.87785216,0.995855794,1.521505224,0.042378718,0.119694754
AT2G43700,-1.222935268,0.303884786,0.56450827,1.144635137,0.06467785,0.181738985,1.056497519,0.145820545,0.303418286
AT2G43710,0.208475195,0.389730325,0.65490665,-0.312623948,0.020111449,0.0743728,-0.387423913,2.52E-05,0.000204278
AT2G43720,-0.336548847,0.780361703,0.964744387,0.132294481,0.883899233,0.9992508,-0.926069043,0.387802174,0.591736388
AT2G43730,0,1,NA,0,1,NA,0,1,NA
AT2G43740,0,1,NA,0,1,NA,0,1,NA
AT2G43745,0.248602548,0.482960797,0.741792988,0.20494593,0.437647216,0.671137214,-0.089215913,0.618451098,0.79385556
AT2G43750,0.545584848,0.001378491,0.011309208,-0.538246704,0.001535726,0.009297398,-0.34816627,0.007041281,0.027842421
AT2G43760,0.471612602,0.137878779,0.344497235,1.166081715,2.37E-15,1.29E-13,0.441035753,0.015885753,0.054485522
AT2G43770,-0.53727816,0.269790314,0.524915123,-0.57561543,0.045764509,0.140694869,-0.589215495,0.007512432,0.029443185
AT2G43780,0.156838636,0.814695584,0.985946492,-0.402899361,0.363078604,0.600112402,-0.006809254,0.983341157,1
AT2G43790,0.281556987,0.217192216,0.458360922,0.056025331,0.760445847,0.923934174,0.115162411,0.475454296,0.67364844
AT2G09500,2.684928144,0.770979098,NA,0,1,NA,0,1,NA
AT2G43795,4.846155423,0.601318084,NA,2.211782188,0.811515503,NA,0,1,NA
AT2G43800,-2.320416627,0.049712456,0.176844322,0.10428875,0.698297827,0.882940349,0.117617201,0.695680141,0.849481823
AT2G43810,-0.243359996,0.664362639,0.889042237,0.219416588,0.489235666,0.716929135,0.328455322,0.192931079,0.370520541
AT2G43820,0.665913282,0.001793629,0.014123807,-0.201126677,0.287127784,0.51403852,-0.267009127,0.10788808,0.243836738
AT2G43830,3.03347844,0.071618783,0.226515833,1.333245754,0.46502977,0.69579217,1.295228952,0.478186409,NA
AT2G43840,-1.097016815,0.356998356,0.621504431,0.50466145,0.205029589,0.413833729,-0.069012915,0.900354062,0.983351432
AT2G09505,0,1,NA,2.211782188,0.811515503,NA,0,1,NA
AT2G43850,-0.01054977,0.98875111,1,0.544074537,0.217080898,0.428732645,0.265216465,0.48333432,0.680598275
AT2G43860,2.268384434,0.478057109,NA,0,1,NA,0.339734707,0.916251372,NA
AT2G43865,4.889019618,0.009715708,0.054470303,2.211872967,0.265287284,NA,0,1,NA
AT2G43870,-0.617005072,0.604890722,0.845203199,-0.82506106,0.221627307,0.434867125,0.039140311,0.950656833,1
AT2G43880,-1.417951211,0.232337382,0.478619661,-0.215869841,0.776980084,0.93571094,0.008744068,0.986506671,1
AT2G43890,-0.521585829,0.617213387,0.854167968,-3.195038035,0.008380601,0.03749835,-1.14532472,0.353340155,0.556187333
AT2G43900,1.758789289,1.15E-09,3.22E-08,1.134694421,1.81E-06,2.51E-05,0.250704138,0.329569095,0.530635581
AT2G43910,-1.044199316,0.00026486,0.00271532,-1.047742377,1.33E-25,1.76E-23,-0.747874424,3.32E-14,1.14E-12
AT2G43920,1.262853453,0.227658762,0.472284359,1.035702503,0.265251338,0.48847567,1.125646293,0.005469597,0.02252887
AT2G43930,1.496418153,0.252854538,0.504859367,1.363453721,0.396084636,0.633308034,-0.039999999,0.977089862,1
AT2G43932,2.216418696,0.300770161,0.560943902,0.50059756,0.820515954,NA,3.139216039,0.186986923,NA
AT2G43940,-0.883574214,0.174989549,0.400401845,0.160185777,0.662254349,0.856057538,-0.69577746,0.085049562,0.203513832
AT2G43945,0.850667357,0.018547182,0.088918055,-0.513741332,0.019679642,0.073149253,0.340988828,0.010294098,0.038193434
AT2G43950,-0.366945391,0.409052574,0.673108277,-0.221209159,0.393975038,0.631337479,-0.221744733,0.297156831,0.494051669
AT2G43960,0,1,NA,0,1,NA,0,1,NA
AT2G43970,2.809158956,3.42E-55,1.53E-52,2.451705261,2.94E-45,1.30E-42,2.056860462,2.87E-34,6.74E-32
AT2G43980,0.010165618,0.98339203,1,-1.219314191,0.020307459,0.074866852,-0.474180891,0.120518826,0.264441784
AT2G43990,0.842254915,0.323662943,0.58621976,0.954685068,0.053447861,0.15810299,-0.299951744,0.581668576,0.764814304
AT2G44000,1.152914802,0.417394762,0.680978994,2.299637659,0.178004752,0.37856629,4.612789867,0.003973302,0.017207541
AT2G44010,-0.771521616,0.361280321,0.625902414,-0.053591511,0.917959583,1,0.935162138,0.127003368,0.274856194
AT2G44020,0.101883675,0.877127279,1,-0.090129897,0.834943929,0.971601652,0.143136847,0.695161609,0.849131843
AT2G44030,0,1,NA,0,1,NA,0,1,NA
AT2G44040,-1.503577296,0.074031453,0.231316929,-0.815920038,0.040201494,0.127500881,-0.907697549,2.31E-05,0.000188451
AT2G44050,-1.128052924,0.015305958,0.076664555,-0.82218248,0.000746523,0.005063452,-0.864581309,4.14E-08,5.94E-07
AT2G44060,-0.828653421,9.62E-06,0.000141377,-0.900116623,3.27E-13,1.31E-11,-0.523608204,9.97E-08,1.32E-06
AT2G44065,-0.849488863,0.243437971,0.493464823,-0.431484909,0.273645372,0.498186064,-0.699004466,0.009445314,0.035601457
AT2G44070,0,1,1,0,1,1,1.294227259,0.446845031,0.647398987
AT2G44080,0.503256394,0.067219472,0.216990364,1.519543185,3.78E-05,0.00037801,0.90307753,3.43E-05,0.000270659
AT2G44090,0.105830032,0.719400778,0.925175836,0.271181761,0.185091206,0.388909214,0.163023165,0.356638824,0.559859211
AT2G44100,-0.797404471,3.34E-06,5.35E-05,-0.389620213,0.00067741,0.004650032,-0.785941678,2.45E-11,5.64E-10
AT2G09510,4.846155423,0.601318084,NA,0,1,NA,0,1,NA
AT2G44110,-0.564309733,0.51608,0.771120541,-1.497097825,0.153484406,0.341655393,-0.237211302,0.68331042,0.840819963
AT2G44120,0.148704933,0.445550957,0.707362742,-0.30983584,0.02701158,0.093971648,-0.127422108,0.224260287,0.409647895
AT2G44140,0.420018564,0.198066804,0.432870526,0.999380069,3.40E-07,5.59E-06,0.186780298,0.413458653,0.617023666
AT2G44130,0.378524057,0.040461275,0.153732147,0.598828687,2.26E-05,0.000238783,0.226474097,0.337582118,0.538699073
AT2G44150,0.239753909,0.512450435,0.767928344,0.741102687,0.000889585,0.005891044,0.398222014,0.072298227,0.180092912
AT2G44160,-0.224719124,0.197714467,0.43252264,-0.567820095,3.47E-07,5.68E-06,-0.423611421,2.56E-05,0.000206952
AT2G44170,4.846290964,0.376978004,NA,0,1,NA,0,1,NA
AT2G44175,0,1,NA,0,1,NA,0,1,NA
AT2G44180,0.80548117,0.003173552,0.022633039,0.211845624,0.411801071,0.647788887,0.164584242,0.457478583,0.656572417
AT2G44190,1.133862681,0.190066572,0.422182432,-0.044990959,0.953767377,1,0.526614628,0.240198671,0.428754364
AT2G44195,3.523401204,0.501365744,NA,3.173629484,0.549139336,NA,0,1,NA
AT2G44198,4.097840763,0.658164726,NA,0,1,NA,0,1,NA
AT2G44200,-1.47445056,0.079550317,0.242358345,-1.005438758,0.017293896,0.066027665,-0.289857242,0.328682677,0.529715408
AT2G44210,0.459005208,0.150700915,0.364410813,-0.48749214,0.031195024,0.104903732,0.350510832,0.068105345,0.17200758
AT2G44220,0.152788197,0.816764408,0.987154415,1.731913225,0.000112561,0.000975747,0,1,1
AT2G44230,-0.442563129,0.363023198,0.627336559,-0.179522211,0.281244546,0.506819612,0.011615837,0.960569714,1
AT2G44240,0,1,NA,0,1,NA,0,1,NA
AT2G44250,1.505458199,0.567882517,NA,0.155877352,0.953757353,NA,1.217661932,0.661816674,NA
AT2G44255,1.743152457,0.019664438,0.092442516,2.270784417,1.41E-07,2.48E-06,2.398273439,7.03E-13,2.03E-11
AT2G44260,-0.545532659,0.456638126,0.717757191,0.366143177,0.297383661,0.526524586,-0.652207808,0.255865221,0.446782101
AT2G44270,0.939109237,0.056646882,0.192963139,0.094355748,0.801689404,0.954006225,0.679005999,0.013889815,0.048861492
AT2G09515,0,1,NA,0,1,NA,0,1,NA
AT2G44280,0.179214698,0.702557158,0.914476936,0.508839769,0.024721028,0.087636846,0.726901504,0.131990071,0.282627515
AT2G44290,0.190413031,0.794403506,0.973417348,0.069311779,0.837356922,0.97269406,1.501629432,1.22E-05,0.000105878
AT2G44300,-0.900535522,0.102807392,0.284693716,-0.27107509,0.372020118,0.61020698,-0.033038723,0.933919845,1
AT2G44310,-0.063108762,0.834947508,0.999059813,-0.202002349,0.386747766,0.624913687,0.271789892,0.142814106,0.298859446
AT2G44320,7.661348498,1.35E-05,0.000192129,0,1,1,0.298953163,0.852432275,0.9531739
AT2G44330,0,1,NA,0,1,NA,0,1,NA
AT2G44340,2.075194905,0.254372648,0.506825557,2.211872443,0.292591795,NA,-1.151309764,0.521272759,NA
AT2G44350,-1.15353946,4.48E-07,8.55E-06,-0.702321371,7.52E-07,1.14E-05,-1.23071766,1.19E-20,8.51E-19
AT2G44360,0.871026847,0.007258683,0.043060885,0.709522573,0.007236146,0.033324636,0.130969351,0.620366561,0.795143848
AT2G44370,1.579637695,0.033996219,0.136807234,-0.407465255,0.590021272,0.806731755,-0.13396602,0.746462433,0.884689507
AT2G44380,-0.529153594,0.304703806,0.565444444,0.56480606,0.050520197,0.151904306,-0.212324224,0.555200167,0.743209028
AT2G44383,0,1,NA,0,1,NA,0,1,NA
AT2G44390,3.258371107,0.110892376,0.2984628,0,1,NA,2.198606734,0.302152443,NA
AT2G44400,0,1,NA,0,1,NA,3.139125072,0.693890086,NA
AT2G44410,0.978429793,2.61E-05,0.000349377,0.904078093,9.13E-06,0.000106894,0.751582814,0.000141763,0.00094964
AT2G44420,0.673007655,0.263616712,0.51764898,0.26356509,0.501435906,0.728640869,0.459554037,0.219230792,0.403661733
AT2G44430,0.473176655,0.2076706,0.446053211,-0.02949539,0.931945754,1,-0.124648801,0.708184416,0.858832765
AT2G44440,0.075687635,0.891190247,1,0.287883165,0.398542534,0.635164744,-0.821089911,0.034669812,0.101820158
AT2G44450,-0.987115376,0.072204284,0.22768321,-0.522022401,0.21103357,0.421247754,0.102849454,0.788896441,0.915591773
AT2G44460,-0.756974865,0.529934934,0.782767269,-0.603417404,0.62811404,0.830681478,0.47882451,0.546521434,0.735432011
AT2G09525,3.371926717,0.044481985,0.16372061,0.580144699,0.710515793,0.892069468,2.177424408,0.245103834,0.434461003
AT2G44470,2.310110324,0.626319955,NA,0,1,NA,0,1,NA
AT2G44480,0.921247323,0.382020808,0.646420501,0.55887014,0.543911253,0.765499099,-1.803915548,0.146748997,0.304665442
AT2G44490,-0.129794765,0.5389245,0.791238072,-0.304078017,0.04385371,0.136252218,-0.461623791,6.75E-05,0.000492138
AT2G09530,0,1,NA,0,1,NA,0,1,NA
AT2G44500,0.466146832,0.014863224,0.074938339,0.522982149,0.001774187,0.010464422,0.623070331,0.004627547,0.019640327
AT2G44510,1.165454135,0.055963747,0.19141649,-0.208545736,0.760870372,0.924152352,0.369181742,0.330200912,0.531197502
AT2G44520,-0.120148549,0.727471663,0.930286281,0.039848355,0.862565341,0.98664532,-0.596727354,0.009021217,0.034251446
AT2G44525,0.221117807,0.619890882,0.856315159,0.069962603,0.85306721,0.981663699,0.506155121,0.064329288,0.164853929
AT2G44530,-0.057491443,0.865091139,1,-0.519269358,0.072227756,0.197384401,-0.679328613,0.003066522,0.013768253
AT2G44540,0,1,NA,0,1,NA,0,1,NA
AT2G44550,0,1,NA,0,1,NA,0,1,NA
AT2G44560,0,1,NA,0,1,NA,0,1,NA
AT2G44570,1.218553267,0.074451229,0.232275672,0.350539642,0.80150043,0.953916533,-0.784012639,0.37312878,0.576881239
AT2G44581,4.846155423,0.601318084,NA,2.211782188,0.811515503,NA,0,1,NA
AT2G44578,2.151063296,0.192804764,0.426070003,2.211873108,0.25749359,0.479055338,1.289282542,0.48911363,NA
AT2G44580,0.376779418,0.716918804,0.923598212,0.028406559,0.958989353,1,0.045679488,0.923572667,0.997252634
AT2G44590,3.349067862,0.378946483,NA,0,1,NA,0,1,NA
AT2G44600,-0.183788433,0.801209289,0.977411724,0.820425005,0.019544033,0.072765848,1.402165531,0.000178391,0.0011634
AT2G44610,0.355129757,0.082411466,0.24807874,-0.41466022,0.02138637,0.078090166,-0.12021149,0.3625075,0.565517543
AT2G44620,-0.887288299,0.019018829,0.090486664,0.110077824,0.592259353,0.807986208,0.093381809,0.577794686,0.761442835
AT2G44630,1.44308751,0.198037836,0.432870526,1.562431499,0.093017649,0.237520081,0.646022708,0.422948154,0.625658856
AT2G44640,1.659926962,5.35E-12,1.93E-10,-0.453781854,0.068567485,0.189968891,-0.674614862,0.000265218,0.001650311
AT2G44650,-0.976902628,0.006980862,0.041734098,-0.647751263,0.001087245,0.006971622,-0.261391465,0.093684374,0.218669836
AT2G44660,1.289346902,0.002577507,0.019121756,0.304393896,0.405568574,0.641669162,1.226544197,5.87E-05,0.00043391
AT2G09535,0,1,NA,0,1,NA,0,1,NA
AT2G44670,0.067286979,0.873420685,1,0.419071003,0.045356832,0.139756103,0.307410317,0.052136319,0.141007145
AT2G44680,-0.077917591,0.842611171,1,0.952048208,9.04E-06,0.000106,0.937219494,2.47E-06,2.50E-05
AT2G44690,-0.468387311,0.70669287,0.917316565,0.367408374,0.669461767,0.861924326,-0.615588906,0.514021663,0.70641516
AT2G44700,-0.140109636,0.914058875,1,-0.474697443,0.680861788,0.870197327,-0.820650875,0.534861463,0.725217255
AT2G44710,-0.360968213,0.320675906,0.583249636,-0.013954292,0.950063001,1,-0.372681126,0.051531773,0.139743593
AT2G44730,0.207085344,0.553131462,0.803841499,-0.326523442,0.180121397,0.382008088,-0.322807909,0.238330043,0.42601059
AT2G44735,1.261368587,0.332181061,0.595356283,2.199269548,0.012426837,0.051084276,-1.047040941,0.427138601,0.629765711
AT2G44740,0.265236317,0.498517458,0.756139704,-0.206407116,0.611388305,0.819751053,-0.075976699,0.847227198,0.951497121
AT2G44745,0,1,NA,0,1,NA,0.324147697,0.959726756,NA
AT2G44750,2.932780728,1.78E-07,3.64E-06,1.145225214,0.067884326,0.188521007,2.002153386,7.23E-06,6.61E-05
AT2G44760,-1.255989544,0.083782889,0.250737746,-0.713081959,0.027468542,0.095167248,-1.102814941,2.95E-06,2.93E-05
AT2G44770,0.351869037,0.191941107,0.424723114,0.472012102,0.013124026,0.053453086,0.157358109,0.443859773,0.644872313
AT2G44780,0,1,NA,2.211782188,0.811515503,NA,0,1,NA
AT2G44790,-1.286338705,1.88E-10,5.84E-09,-0.78411384,6.95E-06,8.39E-05,-0.524109966,0.009995584,0.037329791
AT2G09540,0,1,NA,0,1,NA,0,1,NA
AT2G09545,4.846155423,0.601318084,NA,0,1,NA,0,1,NA
AT2G44798,0.52013635,0.666099108,0.890296533,2.335399034,0.000345062,0.002608864,3.126838783,1.97E-05,0.000162994
AT2G44800,0,1,NA,0,1,NA,0,1,NA
AT2G44810,0,1,NA,0,1,NA,0,1,NA
AT2G44820,-0.093840021,0.898142142,1,-0.33352807,0.472256718,0.701524133,-0.546782681,0.133883563,0.285455375
AT2G44830,-0.550569104,0.354323421,0.618741121,0.115402472,0.665192545,0.858728236,0.014715546,0.948936401,1
AT2G44840,-0.021964462,0.985870907,1,-0.8121105,0.519984005,0.745768317,-0.336855264,0.792899713,0.918809372
AT2G09550,0,1,NA,0,1,NA,0,1,NA
AT2G09555,0,1,NA,0,1,NA,0,1,NA
AT2G44850,0.431870242,0.678763599,0.899414299,1.891795682,0.000810911,0.005444689,1.54269254,0.011093034,0.040687979
AT2G09560,0,1,NA,0,1,NA,0,1,NA
AT2G44860,0.20783175,0.546026561,0.797940104,0.245804354,0.22194889,0.435207791,0.412940258,0.008702168,0.033229462
AT2G09565,4.846155423,0.601318084,NA,0,1,NA,2.177334571,0.814397116,NA
AT2G44870,-0.235878551,0.536543172,0.788910844,-0.120390889,0.498558425,0.726042412,0.07919968,0.573189589,0.757896912
AT2G44880,1.512170792,0.169617611,0.393237936,2.255969525,0.001707463,0.010139725,-1.810334158,0.148265643,0.307030973
AT2G09570,0,1,NA,0,1,NA,0,1,NA
AT2G44890,0,1,NA,0,1,NA,0,1,NA
AT2G09575,0,1,NA,0,1,NA,0,1,NA
AT2G44900,0.30763877,0.287127443,0.544694653,0.315982523,0.154729814,0.343357887,0.009277096,0.965327641,1
AT2G44910,-0.008998215,0.989145128,1,-1.60279949,0.186308881,0.39035383,0.387621276,0.666975248,0.828864751
AT2G09585,0,1,NA,0,1,NA,0,1,NA
AT2G09590,0,1,NA,0,1,NA,0,1,NA
AT2G44920,-1.091889062,0.034410183,0.137953324,-0.837734341,0.001271963,0.007954824,-0.243237425,0.120399273,0.264285749
AT2G44925,4.846310104,0.303593782,NA,2.211852784,0.638695049,NA,0,1,NA
AT2G44930,1.446195441,0.328542099,0.59141117,0.32448058,0.829702408,0.968357736,-1.684252592,0.242342971,0.431257803
AT2G44940,0.548381423,0.144758032,0.355571476,0.17281254,0.398696867,0.635307279,0.497602172,0.066043368,0.168257607
AT2G44950,0.574811288,0.036172015,0.142792141,0.45669713,0.029788018,0.101133441,-0.343924533,0.133482308,0.28494008
AT2G44970,-0.023623727,0.941196093,1,0.839129465,1.92E-08,3.93E-07,0.885247929,2.99E-08,4.38E-07
AT2G44980,0.255152859,0.645499769,0.874742804,0.04391336,0.915226976,1,0.158015911,0.613251021,0.789421667
AT2G44990,3.6600411,0.307453607,NA,2.21186252,0.545522677,NA,0,1,NA
AT2G44995,0.467673364,0.7094731,0.919005004,1.558127361,0.196032967,0.402504517,2.322893697,0.015019637,0.052034215
AT2G44993,0,1,1,0,1,NA,0,1,NA
AT2G45000,0.531478799,0.249692118,0.501460305,1.028102789,0.000695661,0.004756875,-0.08907211,0.77379611,0.90499376
AT2G45010,-0.156367431,0.723319294,0.927683033,0.273866163,0.3163531,0.548355531,0.174044902,0.440263222,0.641670572
AT2G45020,0,1,NA,0,1,NA,1.302885511,0.858760146,NA
AT2G45023,1.693061334,0.108578283,0.294636918,2.141628187,0.001597051,0.009596779,1.605050213,0.007775315,0.030308088
AT2G45030,0.463641628,0.110537011,0.297806132,-0.142838113,0.519749241,0.745698954,-0.996301312,4.34E-06,4.15E-05
AT2G45040,-0.929507939,0.451702022,0.713231971,-0.528039065,0.628957568,0.830990958,0.070314166,0.957250862,1
AT2G45050,0.79586325,0.010035048,0.056011925,0.49097972,0.24392335,0.46275548,0.068343548,0.836224631,0.948237913
AT2G45060,-0.348333755,0.51269075,0.768073771,-0.717833748,0.079788763,0.212312108,-0.150500449,0.564184977,0.75076051
AT2G45070,-1.238915808,0.000160232,0.001757232,-0.546964278,0.002973688,0.016053112,-0.373557251,0.009150419,0.034645028
AT2G45080,1.471572372,0.228905226,0.47381273,0.115746222,0.855550095,0.982581416,0.352120398,0.583108848,0.766048033
AT2G45090,0,1,NA,0,1,NA,0,1,NA
AT2G45100,-1.345370259,0.257331226,0.510140505,-0.238919303,0.624103381,0.82873504,0.067366892,0.868428785,0.961695571
AT2G45110,0,1,NA,0,1,NA,0,1,NA
