Gene.ID,FPKM.D.WT,FPKM.DTL12h.WT,FPKM.DTL24h.WT,FPKM.DTL48h.WT,FPKM.DTL24h.u5
AT5G09350,5.456357933,4.001298482,3.230144001,3.540463706,3.682087028
AT5G09355,0.473489276,0.179083028,0.174687616,0.041604429,0.26268067
AT5G09360,0.048917995,0.044404213,0.010828589,0.010315952,0
AT5G09365,0,0.044665414,0,0.041506536,0.087354199
AT5G09370,0.211008434,0,0.01668188,0.047676426,0
AT5G09375,0,0.050086546,0,0.046544268,0.097956556
AT5G09380,4.849072724,5.027476181,4.759418693,5.898467854,4.263635624
AT5G09385,226.8132159,94.46381959,79.41036656,75.02347351,82.32183778
AT5G09390,21.08398431,24.03638774,20.03579679,18.24538789,17.81527336
AT5G09395,1.514451319,0.966592409,1.309539414,1.534479601,1.234017065
AT5G09400,17.99771072,16.68375885,13.74979985,13.36738449,13.39688801
AT5G09405,0.86737022,0.867403908,0.585771479,0.713051647,0.570911122
AT5G09410,22.07972828,16.16652967,16.52307005,16.39631995,16.79056932
AT5G09415,0.41824886,0.474570023,0.154307394,0.147002314,0.232034592
AT5G09420,5.291054764,7.223015444,5.382042271,7.100489134,4.286281408
AT5G09425,0,0,0.174687616,0,0
AT5G09430,0.69941281,0.269822421,0.185788167,0.324486713,0.124165668
AT5G09435,2.650530568,2.924675723,1.291875859,1.512756372,1.45696139
AT5G09440,257.1008424,80.38088189,78.9672903,42.47334097,73.78791431
AT5G09443,4.281976914,3.214974846,3.858418956,4.548539729,3.832655103
AT5G09445,7.755030951,5.866212784,6.975980118,8.177003722,6.961037754
AT5G09450,9.823747621,8.345487477,6.593818411,8.572744708,6.327187162
AT5G09455,0,0,0,0,0
AT5G09460,22.41393342,24.58220527,21.43333344,30.57601943,21.85098732
AT5G09465,0.187977016,0.035548316,0.069351638,0.066068456,0
AT5G09470,0.089739219,0.072731038,0.056756743,0.3244189,0.113794742
AT5G09475,0.069132043,0.078441326,0.153032127,0,0.230116951
AT5G09480,19.35894725,9.875576192,18.42871166,11.23517686,11.22605454
AT5G09490,0,0,0,0,0
AT5G09495,7.48864626,11.20889197,8.817565389,8.400132235,9.369777802
AT5G09500,0.171967226,0.195124239,0.190335112,0.129517457,0.081774305
AT5G09505,0,0.061037945,0.238159322,0.226884601,0.238749419
AT5G09510,43.99915351,58.64050261,76.81387413,104.2031685,60.38808882
AT5G09515,0,0,1.452304888,1.383551192,1.455903321
AT5G09520,8.601044047,22.26694194,24.40139507,6.38513119,16.6495496
AT5G09525,0.459053627,0.636618323,1.241986344,0.699157348,0.509344226
AT5G09530,51.70154498,111.7786519,169.5715679,40.45817479,123.0951249
AT5G09535,79.60999304,55.90210664,58.56390871,64.58841833,54.27538798
AT5G09540,1.884384757,0.699005666,0.975980342,0.585886479,1.058814888
AT5G09545,0,0,0,0,0
AT5G09555,0,0,0,0,0
AT5G09565,442.5394672,366.6053427,339.1795225,173.2648429,362.955648
AT5G09570,2.637688512,0.690664201,1.367840629,15.85096617,1.69868764
